"HUMAN DEVEL & FAMILY STUDI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","",""
"","174
001","72","3.785","83.3","5.6","5.6","1.4","1.4","2.8",".",".",".",".",".",".",".",".",".","."
"","174
002","75","3.767","80.0","5.3","6.7","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Cultural Diversity of Families","Course Total","147","3.776","81.6","5.4","6.1","2.7","2.7","1.4",".",".",".",".",".",".",".",".",".","."
"HDFS Leadership Symposium","253
001","82","3.738","80.5","9.8","2.4","3.7",".","1.2","2.4",".",".",".",".",".",".",".",".","."
"Development of Young Child","262
001","245","3.752","77.6","8.2","8.2","2.0","2.0","1.2","0.4",".",".",".",".",".","0.4",".",".","."
"Develp: Adolescence-Old Age","263
001","246","3.876","88.6","4.9","3.3","1.2","1.2","0.8",".",".",".",".",".",".",".",".",".","."
"Ecology Child Hlth & Well-Bng","345
001","54","3.852","87.0","7.4","3.7",".",".",".","1.9",".",".",".",".",".",".",".",".","."
"Rsch Meth in Hum Devel&Fam St","425
001","45","3.750","84.4","2.2","4.4","2.2",".","2.2","2.2",".",".",".",".",".","2.2",".",".","."
"Infant/ToddlerDev&GroupCare","462
001","40","3.875","92.5","5.0",".",".",".",".","2.5",".",".",".",".",".",".",".",".","."
"","465
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","465
002","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Families & Poverty","Course Total","20","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family&Com Influences-Child","469
001","39","3.808","82.1","7.7","5.1",".","5.1",".",".",".",".",".",".",".",".",".",".","."
"Racial Ethnic Families in U.S.","474
001","39","3.385","43.6","30.8","5.1","5.1","12.8","2.6",".",".",".",".",".",".",".",".",".","."
"","501
001","37","3.527","70.3","10.8","5.4","2.7","2.7","5.4","2.7",".",".",".",".",".",".",".",".","."
"","501
002","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".",".","14.3",".","."
"","501
003","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
004","6","3.417","66.7","16.7",".",".",".","16.7",".",".",".",".",".",".",".",".",".","."
"","501
005","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","501
006","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","90","3.761","83.3","5.6","2.2","1.1","1.1","3.3","1.1","1.1",".",".",".",".",".","1.1",".","."
"","516
001","35","3.871","85.7","8.6","2.9",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"","516
002","38","3.919","89.5","2.6","2.6","2.6",".",".",".","2.6",".",".",".",".",".",".",".","."
"Family Stress and Resilience","Course Total","73","3.896","87.7","5.5","2.7","1.4","1.4",".",".","1.4",".",".",".",".",".",".",".","."
"Couple Relationships","517
001","59","3.625","66.1","15.3","5.1","1.7","1.7","3.4","1.7","3.4",".",".",".",".","1.7",".",".","."
"Family Perspctv-Policymakng","535
001","13","3.500","61.5","7.7","15.4",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"Research Experience in HDFS","592
001","23","3.944","95.7",".",".",".",".","4.3",".",".",".",".",".",".",".",".",".","."
"Mass Media and Youth","616
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Parent Educ & Support Programs","650
001","19","3.861","78.9","5.3","10.5",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Developmental & Fam Assessment","663
001","23","3.826","95.7",".",".",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"","699
016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
060","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","4","***","","","","","","","","","","","","","","","",""
"","766
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","766
002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","766
003","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics in HDFS","Course Total","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Theory I (Survey)","865
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","4","***","","","","","","","","","",".",".",".",".",".",".","."
