"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"GERMAN","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","",""
"2nd Sem German for Grad Stdts
402","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"3rd Sem German for Grad Stdts
403","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"404","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"404","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"4th Sem German for Grad Stdts","Course Total","3","***","","","","","","","","","","","","","","","",""
"Lit Movements Since 1750
612","001","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Seminar in German Studies
676","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study
699","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-German Cultural Stdy
742","001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"Interdis W Europ Studies Sm
804","001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-German Linguistics
960","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research in Lit
990","005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Linguistc&Germanic Philolgy","Course Total","6","",".",".",".",".",".",".",".","16.7",".",".",".","83.3",".",".",".","."
"424
GERMAN","Dept. Total","411","3.745","73.5","14.4","3.6","2.2","1.7","1.5","0.2","1.0",".",".",".","1.7",".",".","0.2","."
