"BIOLOGICAL SYSTEMS ENGINE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","","",""
"Cooperative Educ Program
1","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Career Management-Engineers
308","001","","50","3.890","86.0","6.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proj Econ & Decsn Analysis
310","001","","37","3.514","43.2","21.6","29.7","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Tech Animal Monitoring
344","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Quant Technqs-Biological Systm
349","001","","44","3.761","70.5","15.9","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Measrmt&Instrumntn-Biol Sys
365","001","","39","2.795","12.8","7.7","35.9","12.8","30.8",".",".",".",".",".",".",".",".",".",".","."
"367","001","","99","3.855","77.8","9.1","4.0","2.0","1.0",".",".",".",".",".",".",".",".",".","6.1","."
"367","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Renewable Energy Systems","Course Total","","100","3.851","77.0","10.0","4.0","2.0","1.0",".",".",".",".",".",".",".",".",".","6.0","."
"AI in Ag
405","001","","36","3.743","47.2","50.0",".",".",".",".",".","2.8",".",".",".",".",".",".",".","."
"Heat and Mass Transfer
464","001","","12","2.958","16.7","41.7","16.7",".","8.3","16.7",".",".",".",".",".",".",".",".",".","."
"Sedmnt & Bio-Nutr Engr&Mgmt
472","001","","20","2.950","10.0","5.0","50.0","35.0",".",".",".",".",".",".",".",".",".",".",".","."
"Fluid Power
474","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"476","001","","11","3.545","45.5","27.3","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"476","002","","13","3.308","15.4","38.5","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Engr Princpl Off-Road Vehicles","Course Total","","24","3.417","29.2","33.3","29.2","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Biol Sys Engr Dsgn Practicum I
508","002","","52","3.837","71.2","25.0","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Small Watershed Engineering
571","001","","28","3.268","28.6","32.1","14.3","14.3","10.7",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis
682","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems
699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Ag Engr Teaching","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Graduate Research Seminar
901","001","","28","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
