"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"","100
001","241","3.158","26.6","23.7","19.9","17.8","10.8","0.8","0.4",".",".",".",".",".",".",".",".","."
"","100
002","254","3.185","33.9","18.5","16.9","17.7","10.6","2.0","0.4",".",".",".",".",".",".",".",".","."
"Intro Financial Accounting","Course Total","495","3.172","30.3","21.0","18.4","17.8","10.7","1.4","0.4",".",".",".",".",".",".",".",".","."
"","211
001","31","3.161","25.8","12.9","45.2","12.9",".",".","3.2",".",".",".",".",".",".",".",".","."
"","211
002","37","3.176","16.2","16.2","54.1","13.5",".",".",".",".",".",".",".",".",".",".",".","."
"","211
003","35","3.426","42.9","11.4","28.6","14.3",".",".",".","2.9",".",".",".",".",".",".",".","."
"","211
004","34","3.118","32.4","17.6","20.6","17.6","5.9","2.9","2.9",".",".",".",".",".",".",".",".","."
"","211
005","38","3.263","23.7","21.1","42.1","10.5","2.6",".",".",".",".",".",".",".",".",".",".","."
"","211
007","27","3.259","29.6","18.5","29.6","18.5","3.7",".",".",".",".",".",".",".",".",".",".","."
"","211
008","42","3.083","28.6","14.3","19.0","21.4","16.7",".",".",".",".",".",".",".",".",".",".","."
"","211
009","35","3.314","42.9","14.3","28.6","2.9","8.6",".","2.9",".",".",".",".",".",".",".",".","."
"","211
010","32","2.953","37.5","6.3","21.9","9.4","12.5","9.4","3.1",".",".",".",".",".",".",".",".","."
"","211
011","31","3.210","29.0","16.1","38.7","12.9",".",".","3.2",".",".",".",".",".",".",".",".","."
"","211
100","33","3.197","36.4","24.2","9.1","15.2","9.1","6.1",".",".",".",".",".",".",".",".",".","."
"Intro Managerial Accounting","Course Total","375","3.195","31.2","15.7","30.7","13.6","5.6","1.6","1.3","0.3",".",".",".",".",".",".",".","."
"","300
001","238","3.471","50.8","18.5","18.1","7.6","2.5","0.8","1.7",".",".",".",".",".",".",".",".","."
"","300
002","42","3.488","50.0","19.0","21.4","2.4","4.8","2.4",".",".",".",".",".",".",".",".",".","."
"","300
003","44","3.512","40.9","29.5","18.2","6.8","2.3",".",".",".",".",".",".",".","2.3",".",".","."
"","300
004","45","3.533","48.9","22.2","17.8","8.9","2.2",".",".",".",".",".",".",".",".",".",".","."
"Accounting Principles","Course Total","369","3.485","49.3","20.3","18.4","7.0","2.7","0.8","1.1",".",".",".",".",".","0.3",".",".","."
"","301
001","42","3.500","40.5","38.1","9.5","4.8","7.1",".",".",".",".",".",".",".",".",".",".","."
"","301
002","42","3.429","35.7","28.6","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","301
003","43","3.465","34.9","37.2","18.6","4.7","4.7",".",".",".",".",".",".",".",".",".",".","."
"","301
004","40","3.475","37.5","32.5","20.0","7.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"","301
005","42","3.452","31.0","47.6","11.9","4.8","2.4","2.4",".",".",".",".",".",".",".",".",".","."
"","301
006","58","3.439","44.8","20.7","22.4","3.4","3.4","3.4",".","1.7",".",".",".",".",".",".",".","."
"Financial Reporting I","Course Total","267","3.459","37.8","33.3","17.6","6.4","3.4","1.1",".","0.4",".",".",".",".",".",".",".","."
"","302
001","27","3.370","37.0","18.5","29.6","11.1","3.7",".",".",".",".",".",".",".",".",".",".","."
"","302
002","36","3.500","47.2","19.4","22.2","8.3","2.8",".",".",".",".",".",".",".",".",".",".","."
"","302
003","29","3.517","51.7","31.0","3.4","3.4","6.9","3.4",".",".",".",".",".",".",".",".",".","."
"Financial Reporting II","Course Total","92","3.467","45.7","22.8","18.5","7.6","4.3","1.1",".",".",".",".",".",".",".",".",".","."
"","310
001","41","3.476","36.6","26.8","31.7","4.9",".",".",".",".",".",".",".",".",".",".",".","."
"","310
002","38","3.408","26.3","34.2","34.2","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","310
003","36","3.528","44.4","33.3","11.1","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Cost Management Systems","Course Total","115","3.470","35.7","31.3","26.1","5.2","1.7",".",".",".",".",".",".",".",".",".",".","."
"","329
001","45","3.722","57.8","28.9","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","329
002","45","3.600","48.9","31.1","13.3","4.4","2.2",".",".",".",".",".",".",".",".",".",".","."
"","329
100","44","3.659","54.5","31.8","6.8","4.5","2.3",".",".",".",".",".",".",".",".",".",".","."
"Taxatn:Bus & Persnl Planng","Course Total","134","3.660","53.7","30.6","11.2","3.0","1.5",".",".",".",".",".",".",".",".",".",".","."
"Accounting Information Systems","340
001","42","3.512","28.6","45.2","26.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
001","37","3.905","86.5","10.8",".","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"","401
002","28","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 16, 2026","","","","","","","","","","","","","","","","","","","Page 52 of 493"
