"","990
033","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
034","2","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
035","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","41","",".",".",".",".",".",".",".","87.8","",".",".",".","12.2",".",".",".","."
"Rsch in Physical Activity","991
001","13","3.962","92.3","7.7",".",".",".",".",".",".",".","",".",".",".",".",".",".","."
"742
KINES","Dept. Total","2474","3.794","70.5","13.7","6.1","1.4","1.0","0.4","0.2","4.0","",".","2.4","0.0","0.2","0.1",".","0.0","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","35","3.588","60.0","22.9","5.7","2.9","5.7","2.9",".",".","",".",".",".",".",".",".",".","."
"Sophomore","","283","3.772","72.8","15.5","7.8","2.1","1.8",".",".",".","",".",".",".",".",".",".",".","."
"Junior","","638","3.811","76.5","14.7","6.4","1.1","0.5","0.3","0.3",".","",".",".",".",".","0.2",".",".","."
"Senior","","1131","3.790","76.5","13.5","6.1","1.7","1.2","0.6","0.2",".","",".",".",".",".","0.2",".",".","."
"Undergraduates","","2087","3.791","75.7","14.3","6.4","1.6","1.1","0.5","0.2",".","",".",".",".",".","0.1",".",".","."
"Special","","64","4.000","1.6",".",".",".",".",".",".","96.9","",".",".",".",".",".",".","1.6","."
"Graduate","","323","3.820","50.8","12.4","5.0","0.3",".",".",".","11.1","",".","18.6","0.3","1.5",".",".",".","."
"","Dept. Total","2474","3.794","70.5","13.7","6.1","1.4","1.0","0.4","0.2","4.0","",".","2.4","0.0","0.2","0.1",".","0.0","."
