"ENGLISH AS A SECOND LANGU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","","",""
"","116
001","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
004","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Acad Reading and Vocab Skills","Course Total","31","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
001","13","",".",".",".",".",".",".",".",".",".","92.3","7.7",".",".",".",".","."
"","117
002","12","",".",".",".",".",".",".",".",".",".","91.7","8.3",".",".",".",".","."
"","117
003","14","",".",".",".",".",".",".",".",".",".","92.9","7.1",".",".",".",".","."
"","117
004","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"","117
005","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
006","14","",".",".",".",".",".",".",".",".",".","92.9","7.1",".",".",".",".","."
"","117
008","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
009","16","",".",".",".",".",".",".",".",".",".","87.5","12.5",".",".",".",".","."
"Academic Writing I","Course Total","114","",".",".",".",".",".",".",".",".",".","93.9","6.1",".",".",".",".","."
"","118
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
002","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
003","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
004","14","3.643","57.1","21.4","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","118
005","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
006","15","3.633","80.0","6.7","6.7",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","118
007","13","3.833","61.5","30.8",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","118
008","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
009","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
010","14","3.821","78.6","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
011","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
012","12","3.727","41.7","50.0",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","118
013","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","118
014","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
015","14","3.714","64.3","21.4","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","118
018","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
021","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Academic Writing II","Course Total","228","3.860","78.5","16.2","2.6","0.9",".",".","0.4",".",".",".",".",".","1.3",".",".","."
"Academic Speaking Skills","200
001","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Academic Skills Workshops","328
001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","343
001","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","343
002","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Oral Communication Skills","Course Total","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Acad Present. and Discussion","344
002","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","345
001","11","",".",".",".",".",".",".",".",".",".","90.9","9.1",".",".",".",".","."
"","345
002","11","",".",".",".",".",".",".",".",".",".","90.9","9.1",".",".",".",".","."
"","345
004","11","",".",".",".",".",".",".",".",".",".","90.9","9.1",".",".",".",".","."
"American English Pronunciation","Course Total","33","",".",".",".",".",".",".",".",".",".","90.9","9.1",".",".",".",".","."
"Academic Writing for Grads","349
001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","350
001","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"July 16, 2026","","","","","","","","","","","","","","","","","","Page 242 of 493",""
