"AGROECOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"130
AGROECOL","","","","","","","","","","","","","","","","","","","",""
"Special Topics
375","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Food Product & Health
377","001","","161","3.727","63.4","23.0","11.2","1.9",".","0.6",".",".",".",".",".",".",".",".",".","."
"Special Problems
699","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Multifunctionality-Agriculture
702","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar in Agroecology
710","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","7","",".",".",".",".",".",".",".","14.3",".",".",".","85.7",".",".",".","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","17","",".",".",".",".",".",".",".","52.9",".",".",".","47.1",".",".",".","."
