"Summary by Level","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"PSYCHIAT","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sophomore","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special","","48","4.000","85.4",".",".",".",".",".",".",".",".",".",".",".","14.6",".",".","."
"Prof Yr 2","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 3","","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Prof Yr 4","","29","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Professionals","","49","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
