"ACCOUNTING AND INFO SYSTE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","",""
"Bus Orgs&Negotiable Instrumnts","Course Total","","65","3.900","83.1","15.4",".","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"","406
001","","35","3.243","34.3","17.1","25.7","8.6","14.3",".",".",".",".",".",".",".",".",".",".","."
"","406
002","","31","3.645","45.2","38.7","16.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Accounting and Analysis Report","Course Total","","66","3.432","39.4","27.3","21.2","4.5","7.6",".",".",".",".",".",".",".",".",".",".","."
"Experience in Accounting","600
001","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Pro Prac Iss-Acct, Audit & Tax","601
001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
001","","29","3.310","24.1","34.5","34.5",".","3.4","3.4",".",".",".",".",".",".",".",".",".","."
"","620
002","","32","3.141","28.1","15.6","28.1","18.8","6.3","3.1",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Taxation","Course Total","","61","3.221","26.2","24.6","31.1","9.8","4.9","3.3",".",".",".",".",".",".",".",".",".","."
"","621
001","","34","3.191","32.4","5.9","32.4","26.5","2.9",".",".",".",".",".",".",".",".",".",".","."
"","621
002","","19","3.132","31.6","15.8","21.1","10.5","21.1",".",".",".",".",".",".",".",".",".",".","."
"Corporate & Advanced Taxation","Course Total","","53","3.170","32.1","9.4","28.3","20.8","9.4",".",".",".",".",".",".",".",".",".",".","."
"","630
001","","30","3.617","56.7","20.0","16.7","3.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"","630
002","","24","3.688","66.7","8.3","20.8","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations of Auditing","Course Total","","54","3.648","61.1","14.8","18.5","3.7","1.9",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting I","701
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","702
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","702
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Financial Reporting II","Course Total","","5","***","","","","","","","","","","","","","","","",""
"International Taxation","725
001","","34","3.397","29.4","44.1","11.8","5.9","8.8",".",".",".",".",".",".",".",".",".",".","."
"","730
001","","25","3.440","28.0","48.0","12.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","730
002","","18","3.444","44.4","16.7","27.8","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Advanced Auditing","Course Total","","43","3.442","34.9","34.9","18.6","7.0","4.7",".",".",".",".",".",".",".",".",".",".","."
"","740
001","","38","3.737","47.4","52.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
002","","40","3.800","62.5","35.0","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Risk, Contrl, & Forensics","Course Total","","78","3.769","55.1","43.6","1.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","771
001","","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","771
002","","30","3.983","96.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Analysis of PerformanceControl","Course Total","","53","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Analysis Taxes & Bus Decisions","772
001","","53","3.840","75.5","17.0","7.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Accounting Research","971
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
117","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Accounting","Course Total","","4","***","","","","","","","","","","","","","","","",""
"","999
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
128","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Readng & Rsch-Accountng PhD","Course Total","","3","***","","","","","","","","","","","","","","","",""
