"AMN","","","","","","","","","","","","","","","","","","","","","","",""
"AIR FORCE AEROSPACE STUDIE Section","#","Ave","A","AB","B","BC","","C","","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"102
A F AERO","","","","","","","","","","","","","","","","","","","","","","",""
"102
001","12","3.708","83.3","8.3",".",".","","",".","8.3",".",".",".","",".",".","",".","",".",".",".","."
"102
002","15","4.000","93.3",".",".",".","","",".",".",".",".",".","",".",".","",".","",".",".",".","6.7"
"Course Total
Heritage and Values II","27","3.865","88.9","3.7",".","",".","",".","3.7",".",".","",".",".","",".","",".",".",".",".","3.7"
"202
001","10","3.600","90.0",".",".",".","","",".",".","10.0",".",".","",".",".","",".","",".",".",".","."
"202
002","2","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Course Total
Team, Leadrshp Fundamentals II","12","3.667","91.7",".",".","",".","",".",".","8.3",".","",".",".","",".","",".",".",".",".","."
"Leadng People, Effctve Comm II
302
001","17","3.941","94.1",".","5.9",".","","",".",".",".",".",".","",".",".","",".","",".",".",".","."
"Leadrshp & Commissioning Prep
402
001","19","3.947","94.7",".","5.3",".","","",".",".",".",".",".","",".",".","",".","",".",".",".","."
"Leadership Laboratory II
502
001","71","",".",".",".",".","","",".",".",".","94.4",".","",".",".","",".","","5.6",".",".","."
"Dept. Total
102
A F AERO","146","3.908","47.3","0.7","1.4","",".","",".","0.7","0.7","45.9","",".",".","",".","",".","2.7",".",".","0.7"
"Summary by Level","#","Ave","A","AB","B","BC","","C","","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"102
A F AERO","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","4","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Sophomore","27","4.000","51.9",".",".","",".","",".",".",".","48.1","",".",".","",".","",".",".",".",".","."
"Junior","30","3.650","46.7",".",".","",".","",".","3.3","3.3","36.7","",".",".","",".","",".","10.0",".",".","."
"Senior","75","3.971","49.3",".","1.3","",".","",".",".",".","49.3","",".",".","",".","",".",".",".",".","."
"Undergraduates","136","3.928","49.3",".","0.7","",".","",".","0.7","0.7","46.3","",".",".","",".","",".","2.2",".",".","."
"Special","8","3.300","12.5","12.5","12.5","",".","",".",".",".","37.5","",".",".","",".","",".","12.5",".",".","12.5"
"Graduate","2","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Dept. Total","146","3.908","47.3","0.7","1.4","",".","",".","0.7","0.7","45.9","",".",".","",".","",".","2.7",".",".","0.7"
