"LIBRARY & INFORMATION STUD Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","",""
"","640
026","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
027","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
028","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
029","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
030","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
031","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
038","12","3.833","83.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","640
045","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
046","10","3.870","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Library&Informatn St","Course Total","225","3.722","75.1","13.3","5.8","2.2","0.9","0.4","2.2",".",".",".",".",".",".",".",".","."
"","644
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","644
002","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Tools, Trends, Debates","Course Total","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","645
001","12","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","645
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intellectual Freedom","Course Total","15","3.667","46.7","40.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","646
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","646
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","646
003","88","3.915","92.0","1.1","5.7",".","1.1",".",".",".",".",".",".",".",".",".",".","."
"","646
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Info Architecture","Course Total","99","3.924","92.9","1.0","5.1",".","1.0",".",".",".",".",".",".",".",".",".",".","."
"","651
001","14","3.607","57.1","7.1","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","651
002","18","3.583","55.6","27.8","5.6",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Cataloging & Classification","Course Total","32","3.594","56.3","18.8","18.8",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Collection Management","655
001","33","3.848","90.9","6.1",".",".",".",".","3.0",".",".",".",".",".",".",".",".","."
"","668
001","28","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","668
002","16","3.867","81.3",".","12.5",".",".",".",".",".",".",".",".",".",".",".","6.3","."
"Dig Curation and Collections","Course Total","44","3.930","88.6","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","2.3","."
"","677
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","677
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","677
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Concepts and Tools for Data An","Course Total","11","3.455","54.5","36.4",".",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"Preserv/Conserv-Lib Matls","678
001","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Analytics","705
001","31","3.839","90.3","6.5",".",".",".",".","3.2",".",".",".",".",".",".",".",".","."
"","712
001","8","3.375","75.0",".","12.5",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"","712
002","22","3.975","86.4","4.5",".",".",".",".",".",".",".",".",".",".",".",".","9.1","."
"The Public Library","Course Total","30","3.804","83.3","3.3","3.3",".",".",".","3.3",".",".",".",".",".",".",".","6.7","."
"College & Univ Libraries","722
001","40","3.950","95.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Database Dsgn-Info Prof","751
002","28","3.889","75.0","21.4",".",".",".",".",".",".",".",".",".",".",".","3.6",".","."
"","755
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","755
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
