"TERM : 1264","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2025-2026","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SCANDINAVIAN STUDIES","","Section
#","Ave","A","AB","B","BC","","C","","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"872","SCAND ST","","","","","","","","","","","","","","","","","","","","","","","","",""
"872","SCAND ST","Dept. Total
114","3.744","64.9","10.5","7.9","",".","",".","1.8","",".","14.9","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"872","SCAND ST","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Freshmen","2","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
