"ANTHROPOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","","",""
"Archaeology & Prehist World","102","001","","70","3.069","15.7","28.6","31.4","7.1","4.3","1.4","4.3","5.7",".",".",".",".",".",".","1.4","."
"","104","001","","424","3.762","80.0","10.8","4.5","1.4","0.5","0.5","2.4",".",".",".",".",".",".",".",".","."
"","104","002","","456","3.846","83.1","11.0","3.1","0.9","0.7","0.2","0.9",".",".",".",".",".","0.2",".",".","."
"Cult Anthro&Human Diversity","","Course Total","","880","3.805","81.6","10.9","3.8","1.1","0.6","0.3","1.6",".",".",".",".",".","0.1",".",".","."
"","105","001","","84","3.392","47.6","14.3","22.6","3.6","7.1","3.6",".","1.2",".",".",".",".",".",".",".","."
"","105","002","","203","3.490","57.1","15.3","14.3","3.9","4.4","2.0","2.0","1.0",".",".",".",".",".",".",".","."
"Principles - Biological Anthro","","Course Total","","287","3.461","54.4","15.0","16.7","3.8","5.2","2.4","1.4","1.0",".",".",".",".",".",".",".","."
"Principles of Archaeology","212","001","","37","3.649","56.8","21.6","16.2","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Dimensions-Material Culture","264","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Culture and Health","265","001","","56","3.444","33.9","35.7","14.3","7.1","5.4",".",".","1.8",".",".",".",".",".",".","1.8","."
"Africa: Introductory Survey","277","001","","6","3.333","50.0",".","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Archaeology","310","001","","17","3.794","76.5","5.9","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Archaeological Science","311","001","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322","001","","75","3.712","76.0","10.7","1.3",".","6.7","2.7",".","2.7",".",".",".",".",".",".",".","."
"","322","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"The Origins of Civilization","","Course Total","","76","3.716","76.3","10.5","1.3",".","6.6","2.6",".","2.6",".",".",".",".",".",".",".","."
"Topics in Ethnology","330","001","","10","3.667","40.0","40.0","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Bones for the Archaeologist","391","001","","8","3.625","75.0",".","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Evolutionary Biology","410","001","","15","3.400","53.3",".","40.0",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"Evolution of Genus, Homo","411","001","","29","4.000","62.1",".",".",".",".",".",".","37.9",".",".",".",".",".",".",".","."
"Language and Culture","430","001","","24","3.729","66.7","16.7","8.3",".","4.2",".",".","4.2",".",".",".",".",".",".",".","."
"Primate Nutri Ecol","444","001","","13","3.846","84.6",".","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdy Abroad:Tpc-Cult Anthro","455","00A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ethnobotany","474","001","","14","3.571","50.0","21.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","490","001","","19","3.658","52.6","26.3","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Anthropology and Education","570","001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690","001","","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Problems in Anthropology","","Course Total","","18","3.917","88.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Archaeologic Meth-Curation","696","078","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","068","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","078","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fund Anthropological Theory","900","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr:Probs-Cultural Anthro","940","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Archaeological Problems","942","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
