"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","239","3.213","15.5","42.3","23.8","13.0","2.9","1.7","0.8",".",".",".",".",".",".",".",".","."
"","300
002","231","3.262","18.2","42.9","20.3","13.9","3.5","0.9","0.4",".",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","470","3.237","16.8","42.6","22.1","13.4","3.2","1.3","0.6",".",".",".",".",".",".",".",".","."
"","305
001","28","3.268","21.4","28.6","32.1","17.9",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","45","3.761","64.4","20.0","13.3",".",".",".",".","2.2",".",".",".",".",".",".",".","."
"","305
003","43","3.756","62.8","25.6","11.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","116","3.639","53.4","24.1","17.2","4.3",".",".",".","0.9",".",".",".",".",".",".",".","."
"","310
001","26","3.500","30.8","38.5","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","310
002","26","3.404","42.3","19.2","26.9","7.7",".","3.8",".",".",".",".",".",".",".",".",".","."
"","310
003","28","3.232","25.0","25.0","32.1","14.3",".","3.6",".",".",".",".",".",".",".",".",".","."
"","310
100","32","3.422","34.4","28.1","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","112","3.388","33.0","27.7","28.6","8.9",".","1.8",".",".",".",".",".",".",".",".",".","."
"","335
001","32","3.484","43.8","25.0","18.8","9.4","3.1",".",".",".",".",".",".",".",".",".",".","."
"","335
002","15","3.000","20.0","20.0","33.3","6.7","13.3","6.7",".",".",".",".",".",".",".",".",".","."
"Brand Management & Strategy","Course Total","47","3.330","36.2","23.4","23.4","8.5","6.4","2.1",".",".",".",".",".",".",".",".",".","."
"Technology Product Marketing","340
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","355
001","39","3.513","28.2","53.8","12.8","2.6","2.6",".",".",".",".",".",".",".",".",".",".","."
"","355
002","45","3.478","28.9","42.2","24.4","4.4",".",".",".",".",".",".",".",".",".",".",".","."
"","355
003","15","3.700","53.3","40.0",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing in a Digital Age","Course Total","99","3.525","32.3","46.5","16.2","4.0","1.0",".",".",".",".",".",".",".",".",".",".","."
"","365
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","2","***","","","","","","","","","","","","","","","",""
"Social Media Marketing","375
001","29","3.414","31.0","31.0","27.6","10.3",".",".",".",".",".",".",".",".",".",".",".","."
"","410
001","18","3.111","16.7","38.9","27.8","5.6","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"","410
002","29","3.036","24.1","17.2","27.6","17.2","3.4","3.4","3.4","3.4",".",".",".",".",".",".",".","."
"Sports Marketing","Course Total","47","3.065","21.3","25.5","27.7","12.8","4.3","2.1","4.3","2.1",".",".",".",".",".",".",".","."
"","421
001","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","421
002","24","3.750","62.5","29.2","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","Course Total","33","3.758","63.6","27.3","6.1","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"Procurement and Supply Mgmt","423
001","25","3.600","32.0","56.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sales Strategy and Management","424
001","30","3.267","43.3","16.7","16.7","16.7",".","3.3","3.3",".",".",".",".",".",".",".",".","."
"","427
001","32","3.734","56.3","34.4","9.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","427
002","24","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Tech in Supply Chains","Course Total","56","3.661","48.2","35.7","16.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Experience: Sply Chn Mg","429
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Strategic Pricing","430
100","35","3.543","28.6","57.1","8.6","5.7",".",".",".",".",".",".",".",".",".",".",".","."
"","437
001","20","3.425","20.0","70.0",".","5.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"","437
002","35","3.500","42.9","37.1","8.6","5.7","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"New Product Innovation","Course Total","55","3.473","34.5","49.1","5.5","5.5","1.8","3.6",".",".",".",".",".",".",".",".",".","."
"Topics in Analytics & Insights","442
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2026","","","","","","","","","","","","","","","","","","","Page 63 of 493"
