"OBSTETRICS AND GYNECOLOG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","",""
"699","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","060","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","102","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"OB/GYN Intern Prep Course
909","105","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"910","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","100","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-OB/GYN","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Abortion in WI and Beyond
916","005","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"919","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","045","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized Ob/Gyn Elective","Course Total","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Gynecologic Oncology
921","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"935","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"935","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Teaching in Clinical Setting","Course Total","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"938","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"938","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"938","044","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"938","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"938","046","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Obs Gyn Inpt Acting Internship","Course Total","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Endocrinlgy-Reprodctve Phys
954","001","","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Responsible Conduct
956","001","","30","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","102","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
