"SOCIOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"Criminal Justice in America","131","001","56","3.291","35.7","23.2","19.6","12.5","3.6","1.8","1.8",".",".",".",".",".",".",".","1.8","."
"","134","001","118","3.278","33.9","22.0","22.0","12.7","6.8","0.8","0.8",".",".",".",".",".",".",".","0.8","."
"","134","002","117","3.179","33.3","19.7","18.8","14.5","10.3","2.6","0.9",".",".",".",".",".",".",".",".","."
"","134","003","105","3.343","39.0","21.0","21.0","7.6","11.4",".",".",".",".",".",".",".",".",".",".","."
"","134","004","91","3.335","36.3","23.1","23.1","11.0","5.5",".","1.1",".",".",".",".",".",".",".",".","."
"Soc of Race & Ethnicity in US","","Course Total","431","3.279","35.5","21.3","21.1","11.6","8.6","0.9","0.7",".",".",".",".",".",".",".","0.2","."
"The Sociology of Gender","138","001","71","3.667","59.2","26.8","5.6","1.4","2.8",".","1.4","2.8",".",".",".",".",".",".",".","."
"Intro-Community & Envir Soc","140","001","30","3.767","76.7","13.3","3.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Wellbeing & Society","144","001","37","3.703","73.0","10.8","8.1",".","8.1",".",".",".",".",".",".",".",".",".",".","."
"Population Problems","170","001","187","3.540","45.5","33.2","11.8","5.3","3.2","1.1",".",".",".",".",".",".",".",".",".","."
"Hnrs Smr:Sociolgl Enterprse","181","001","20","3.825","85.0","5.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Topics in Sociology","196","001","18","3.444","38.9","33.3","11.1","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"Intro to LGBTQ+ Studies","200","002","17","2.900","29.4","23.5","5.9","5.9","5.9","11.8","5.9","11.8",".",".",".",".",".",".",".","."
"Survey of Sociology","210","001","72","3.639","54.2","27.8","13.9",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","211","001","48","3.604","62.5","14.6","14.6","2.1","4.2","2.1",".",".",".",".",".",".",".",".",".","."
"","211","002","52","3.779","65.4","26.9","5.8","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"The Sociological Enterprise","","Course Total","100","3.695","64.0","21.0","10.0","2.0","2.0","1.0",".",".",".",".",".",".",".",".",".","."
"Ethnic Movements in U.S.","220","001","53","3.594","60.4","24.5","3.8","7.5",".","1.9","1.9",".",".",".",".",".",".",".",".","."
"Food, Culture, and Society","222","001","23","3.630","43.5","39.1","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","11","3.227","45.5","9.1","18.2","18.2",".","9.1",".",".",".",".",".",".",".",".",".","."
"","320","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","078","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","097","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Practicum","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Soc Change in Contemp S Korea","336","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Sociology of Health & Medicine","343","001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gender, Sexuality, & Rurality","347","001","12","3.818","75.0",".","16.7",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","357","001","53","3.547","67.9","7.5","11.3","3.8","5.7","1.9","1.9",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","360","001","66","2.908","19.7","12.1","37.9","6.1","13.6","9.1",".",".",".",".",".",".","1.5",".",".","."
"Stats for Sociologists III","362","001","19","3.211","15.8","31.6","36.8","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"Data Mgt for Soc Sci Research","365","001","9","2.944","22.2",".","44.4","11.1","22.2",".",".",".",".",".",".",".",".",".",".","."
"Law, Sexuality, & Society","406","001","10","3.150","40.0","30.0","10.0",".","10.0",".","10.0",".",".",".",".",".",".",".",".","."
"Criminology","441","001","86","3.053","33.7","14.0","15.1","22.1","8.1","1.2","4.7","1.2",".",".",".",".",".",".",".","."
"Immigration, Crime, Enforcemnt","443","001","9","3.611","66.7","11.1",".","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"Social Psych: A Sociol Persp","444","001","29","3.466","55.2","20.7","6.9","3.4","10.3","3.4",".",".",".",".",".",".",".",".",".","."
"Race, Family & the State","451","001","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Sexuality","453","001","10","3.050","30.0",".","40.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".","."
