"CONSUMER SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","",""
"Finc'l Life Skills","111
001","489","3.958","98.0","0.4","0.6","0.2",".","0.2","0.6",".",".",".",".",".",".",".",".","."
"","175
001","201","3.779","79.1","11.9","4.5","0.5","2.0","1.0","1.0",".",".",".",".",".",".",".",".","."
"","175
002","194","3.742","70.1","18.6","4.6","3.6","1.0",".","1.0","1.0",".",".",".",".",".",".",".","."
"Intro to Consumer Finance","Course Total","395","3.761","74.7","15.2","4.6","2.0","1.5","0.5","1.0","0.5",".",".",".",".",".",".",".","."
"","201
001","70","3.693","60.0","27.1","8.6","2.9",".","1.4",".",".",".",".",".",".",".",".",".","."
"","201
002","69","3.449","56.5","15.9","11.6","7.2","4.3","1.4","2.9",".",".",".",".",".",".",".",".","."
"","201
003","68","3.596","47.1","36.8","10.3","2.9","1.5","1.5",".",".",".",".",".",".",".",".",".","."
"","201
004","68","3.691","54.4","32.4","10.3","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Insights","Course Total","275","3.607","54.5","28.0","10.2","4.0","1.5","1.1","0.7",".",".",".",".",".",".",".",".","."
"Retail Leadership Symposium","250
001","243","3.494","61.3","15.2","7.0","5.8","5.3","3.3","1.6",".",".",".",".",".",".",".","0.4","."
"","251
001","118","3.691","75.4","7.6","9.3","5.1",".",".","2.5",".",".",".",".",".",".",".",".","."
"","251
002","22","3.750","72.7","13.6","9.1",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"Finc'l Svcs Leadership Sympos","Course Total","140","3.700","75.0","8.6","9.3","4.3","0.7",".","2.1",".",".",".",".",".",".",".",".","."
"Cons Fin Svcs Innovation","255
001","35","3.514","42.9","37.1","14.3","2.9",".",".","2.9",".",".",".",".",".",".",".",".","."
"Introduction to Retail","257
001","195","3.687","64.1","21.5","8.2","4.1","1.0",".","1.0",".",".",".",".",".",".",".",".","."
"","275
001","63","3.222","31.7","27.0","15.9","14.3","7.9","1.6","1.6",".",".",".",".",".",".",".",".","."
"","275
002","73","3.815","75.3","16.4","5.5","1.4","1.4",".",".",".",".",".",".",".",".",".",".","."
"Intro to Personal Fin Planning","Course Total","136","3.540","55.1","21.3","10.3","7.4","4.4","0.7","0.7",".",".",".",".",".",".",".",".","."
"","301
001","36","3.139","30.6","25.0","25.0","8.3","2.8","2.8","5.6",".",".",".",".",".",".",".",".","."
"","301
002","13","3.231","30.8","38.5","15.4","7.7",".",".","7.7",".",".",".",".",".",".",".",".","."
"Consumer Analytics","Course Total","49","3.163","30.6","28.6","22.4","8.2","2.0","2.0","6.1",".",".",".",".",".",".",".",".","."
"","355
001","56","3.643","73.2","12.5","3.6","5.4","1.8",".","3.6",".",".",".",".",".",".",".",".","."
"","355
002","58","3.810","77.6","10.3","8.6","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Coaching","Course Total","114","3.728","75.4","11.4","6.1","4.4","0.9",".","1.8",".",".",".",".",".",".",".",".","."
"Socially Just Consumption","360
001","50","3.490","38.0","36.0","14.0","10.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"","465
001","29","3.914","82.8","17.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","465
002","25","3.660","48.0","40.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Families & Poverty","Course Total","54","3.796","66.7","27.8","3.7","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"","477
001","32","3.469","28.1","43.8","25.0",".","3.1",".",".",".",".",".",".",".",".",".",".","."
"","477
002","55","3.009","9.1","20.0","49.1","14.5","3.6","3.6",".",".",".",".",".",".",".",".",".","."
"The Consumer and the Market","Course Total","87","3.178","16.1","28.7","40.2","9.2","3.4","2.3",".",".",".",".",".",".",".",".",".","."
"","501
001","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
00A","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","555
001","59","3.576","39.0","44.1","11.9","3.4","1.7",".",".",".",".",".",".",".",".",".",".","."
"","555
002","46","2.902","21.7","13.0","39.1","6.5","8.7","6.5","4.3",".",".",".",".",".",".",".",".","."
"","555
003","75","3.520","30.7","52.0","13.3","1.3","1.3","1.3",".",".",".",".",".",".",".",".",".","."
"Consumer Strategy & Evaluation","Course Total","180","3.381","31.1","39.4","19.4","3.3","3.3","2.2","1.1",".",".",".",".",".",".",".",".","."
"Consumer Engagement Strategies","561
001","55","3.864","81.8","10.9","5.5","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"The Global Consumer","562
001","57","3.446","26.3","43.9","19.3","8.8",".",".",".",".",".",".",".",".","1.8",".",".","."
"","564
001","58","3.078","22.4","32.8","15.5","13.8","8.6","5.2","1.7",".",".",".",".",".",".",".",".","."
"July 16, 2026","","","","","","","","","","","","","","","","","","Page 169 of 493",""
