"INTERDIS COURSES (L & S)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","",""
"Belong, Explore, Become","139
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","145
001","363","3.934","93.4","4.1","1.4","0.3","0.3",".","0.6",".",".",".",".",".",".",".",".","."
"","145
002","134","3.910","94.0","2.2","0.7","0.7",".",".","1.5",".",".",".",".",".","0.7",".",".","."
"","145
003","174","3.790","87.9","4.0","1.7","2.3","1.1",".","2.9",".",".",".",".",".",".",".",".","."
"How to Succeed in College","Course Total","671","3.892","92.1","3.7","1.3","0.9","0.4",".","1.3",".",".",".",".",".","0.1",".",".","."
"","210
001","18","3.556","83.3",".","5.6",".",".","5.6","5.6",".",".",".",".",".",".",".",".","."
"","210
002","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
003","21","3.262","71.4","4.8",".",".","9.5","4.8","9.5",".",".",".",".",".",".",".",".","."
"","210
004","10","3.750","80.0",".","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","210
005","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
006","13","3.692","76.9","7.7",".","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","210
007","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
008","17","3.853","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
009","17","3.088","52.9","11.8","5.9","5.9","5.9","11.8","5.9",".",".",".",".",".",".",".",".","."
"","210
010","10","3.600","70.0","20.0",".",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"","210
011","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
012","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","210
013","6","2.417","33.3","16.7",".",".","16.7","16.7","16.7",".",".",".",".",".",".",".",".","."
"L&S Career Development","Course Total","163","3.583","73.0","11.7","3.7","1.8","3.1","3.7","3.1",".",".",".",".",".",".",".",".","."
"Communicating About Careers","215
001","117","3.765","77.8","12.8","4.3","1.7","0.9","1.7","0.9",".",".",".",".",".",".",".",".","."
"","250
001","20","3.902","85.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
002","19","3.927","89.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
003","15","3.829","73.3","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
004","20","3.888","85.0","5.0","5.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"","250
005","20","3.852","75.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
006","15","3.817","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
007","19","3.823","78.9","10.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Research Experience","Course Total","128","3.864","80.5","11.7","7.0",".",".",".",".",".",".",".",".",".","0.8",".",".","."
"Intrnshp in Liberal Arts & Sci","260
001","55","3.664","72.7","14.5","3.6","1.8","1.8","5.5",".",".",".",".",".",".",".",".",".","."
