"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"","360
201","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Performance in Practice","Course Total","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Backstage Laboratory II","361
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Script Analysis","367
001","22","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Stage Management","379
001","9","3.833","88.9",".",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Musical Performnc for Actor","440
001","20","3.850","85.0",".","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Costume Technology Topics","464
001","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Stage Lighting Design II","466
001","7","3.271","71.4","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"Acting Shakespeare","541
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Backstage Laboratory III","561
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","619
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","619
002","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","619
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Specl Topics-Theatre&Drama","Course Total","18","3.930","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theories of Acting","631
001","23","3.783","65.2","26.1","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Production Practicum","661
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","681
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"942
THEATRE","Dept. Total","1039","3.778","80.0","9.7","4.3","1.8","2.0","0.4","1.1",".",".",".",".","0.1","0.5","0.1",".","."
