"Summary by Level","#","","Ave","A","AB","","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SURGERY","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","6","4.000","100.0","",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","21","4.000","95.2","",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","4.8","."
"Senior","","38","3.989","97.4","",".","2.6","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","66","3.993","97.0","",".","1.5","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","1.5","."
"Prof Yr 2","","1","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 3","","75","",".","",".",".","",".","",".","",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","109","",".","",".",".","",".","",".","",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
"Professionals","","185","",".","",".",".","",".","",".","",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
