"HISTORY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Holocaust: Hist, Memory & Educ
515","001","","13","3.769","69.2","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"600","002","","18","3.917","88.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"600","003","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"600","004","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"600","005","","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"600","006","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"600","007","","9","3.938","77.8","11.1",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"600","009","","15","3.500","66.7","13.3","6.7","6.7",".",".","6.7",".",".",".",".",".",".",".",".","."
"600","010","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Seminar in History","Course Total","","109","3.907","89.9","4.6","1.8","0.9",".",".","0.9",".",".",".",".",".","1.8",".",".","."
"Historical Publishing
601","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honors Thesis Colloquium
680","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","123","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","130","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"682","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","081","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","117","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","118","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thesis Colloquium
690","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"692","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","118","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","126","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","103","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","126","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","127","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","130","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","7","3.738","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chinese Intellectual Hist
700","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum & Prof Dev
702","001","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"710","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"710","002","","13","3.731","61.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
