"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"","106
001","764","",".",".",".",".",".",".",".","0.7",".","98.2","1.2",".",".",".",".","."
"","106
100","22","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Skills for Business Analysis","Course Total","786","",".",".",".",".",".",".",".","0.6",".","98.2","1.1",".",".",".",".","."
"Intro to AI in Business","107
001","42","3.756","66.7","19.0","9.5",".","2.4",".",".",".",".",".",".",".",".",".","2.4","."
"Pers & Prof Foundation in Bus","110
100","36","3.806","77.8","11.1","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Data Analysis for Business II","207
100","36","3.583","50.0","22.2","25.0",".","2.8",".",".",".",".",".",".",".",".",".",".","."
"","240
001","95","3.974","97.9","1.1",".",".","1.1",".",".",".",".",".",".",".",".",".",".","."
"","240
002","91","3.720","62.6","28.6","4.4","3.3",".",".","1.1",".",".",".",".",".",".",".",".","."
"Human-centered Design/Business","Course Total","186","3.849","80.6","14.5","2.2","1.6","0.5",".","0.5",".",".",".",".",".",".",".",".","."
"","250
001","109","3.427","42.2","28.4","16.5","7.3","1.8","2.8","0.9",".",".",".",".",".",".",".",".","."
"","250
002","110","3.509","49.1","16.4","27.3","3.6","2.7","0.9",".",".",".",".",".",".",".",".",".","."
"","250
003","100","3.465","54.0","6.0","25.0","8.0","5.0","1.0",".",".","1.0",".",".",".",".",".",".","."
"Sustainable Capitalism","Course Total","319","3.467","48.3","17.2","22.9","6.3","3.1","1.6","0.3",".","0.3",".",".",".",".",".",".","."
"","301
001","461","3.387","17.8","48.8","27.3","4.8","0.7",".","0.2",".",".",".",".",".",".",".","0.4","."
"","301
100","46","3.326","34.8","21.7","32.6","4.3","4.3",".","2.2",".",".",".",".",".",".",".",".","."
"Business Law","Course Total","507","3.381","19.3","46.4","27.8","4.7","1.0",".","0.4",".",".",".",".",".",".",".","0.4","."
"","306
002","130","3.302","31.5","20.8","31.5","8.5","6.2","0.8",".",".",".",".",".",".","0.8",".",".","."
"","306
003","134","3.291","31.3","17.9","34.3","10.4","6.0",".",".",".",".",".",".",".",".",".",".","."
"","306
004","216","3.193","22.7","20.8","38.0","9.3","8.3","0.5",".",".",".",".",".",".","0.5",".",".","."
"Business Analytics I","Course Total","480","3.250","27.5","20.0","35.2","9.4","7.1","0.4",".",".",".",".",".",".","0.4",".",".","."
"","307
001","58","2.991","15.5","25.9","20.7","24.1","12.1",".","1.7",".",".",".",".",".",".",".",".","."
"","307
002","100","3.155","30.0","22.0","17.0","11.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","307
003","102","3.221","26.5","37.3","13.7","10.8","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"","307
004","104","3.327","30.8","34.6","20.2","5.8","4.8","3.8",".",".",".",".",".",".",".",".",".","."
"","307
005","55","3.382","21.8","47.3","18.2","10.9","1.8",".",".",".",".",".",".",".",".",".",".","."
"Business Analytics II","Course Total","419","3.221","26.3","32.7","17.7","11.5","9.3","2.4","0.2",".",".",".",".",".",".",".",".","."
"","308
001","60","3.842","78.3","11.7","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","308
002","55","3.573","60.0","16.4","20.0",".",".",".","3.6",".",".",".",".",".",".",".",".","."
"Cloud Based Business Analytics","Course Total","115","3.713","69.6","13.9","14.8",".",".",".","1.7",".",".",".",".",".",".",".",".","."
"Acctg&Finance - Non-Bus Majors","310
001","310","3.161","21.3","27.4","22.9","19.4","7.1","0.6","0.3","0.3",".",".",".",".",".",".","0.6","."
"Mgmt & Mrktg Non-Bus Majors","311
001","441","3.591","54.6","26.5","8.4","6.6","2.0","1.1","0.5",".",".",".",".",".",".",".","0.2","."
"Math Business Analytics","317
001","38","3.486","36.8","36.8","10.5","10.5","2.6",".",".",".",".",".",".",".","2.6",".",".","."
"Intercultural Communctn in Bus","320
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","360
001","20","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
003","20","3.925","90.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
004","20","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
005","21","3.738","57.1","33.3","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
006","20","3.400","35.0","40.0","10.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"","360
007","22","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
008","18","3.694","38.9","61.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
009","21","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
