"ALS","","","","","","","","","","","","","","","","","","","",""
"LIFE SCIENCES COMMUNICATIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"120
LSC","","","","","","","","","","","","","","","","","","","",""
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","8","",".",".",".",".",".",".",".","87.5",".",".",".","12.5",".",".",".","."
"999","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Research","Course Total","","6","3.929","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
