"Summary by Level","#","Ave","A","AB","B","BC","","C","D","","F","","S","","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"INTEGART","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","3","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Sophomore","2","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Junior","3","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Senior","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduates","9","3.864","88.9","11.1",".","",".",".","",".","",".","",".","",".",".",".",".",".",".",".","."
"Special","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Graduate","2","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total
12","3.325","66.7","8.3","16.7","",".","8.3","",".","",".","",".","",".",".",".",".",".",".",".","."
