"ART HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"180
ART HIST","","","","","","","","","","","","","","","","","","","",""
"Topics in Art History","103","001","24","3.531","54.2","4.2",".",".",".","4.2","4.2","33.3",".",".",".",".",".",".",".","."
"The Italian Renaissance","106","001","25","3.740","64.0","28.0","4.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"The Body, Sex, & Health in Art","107","001","184","3.677","65.2","21.2","3.8","3.3","2.7","1.6","0.5","0.5",".",".",".",".","0.5",".","0.5","."
"Religion and Art","115","001","65","3.464","23.1","6.2","10.8",".","1.5",".","1.5","56.9",".",".",".",".",".",".",".","."
"Making the American Landscape","239","001","104","3.750","29.8","9.6","2.9","1.0","1.0",".",".","55.8",".",".",".",".",".",".",".","."
"Intro to Afro-American Art","242","001","19","3.211","47.4","21.1","10.5",".","10.5","5.3","5.3",".",".",".",".",".",".",".",".","."
"Dimensions-Material Culture","264","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","303","001","54","3.757","44.4","13.0","5.6",".","1.9",".",".","35.2",".",".",".",".",".",".",".","."
"","303","002","36","3.917","61.1","2.8",".","2.8",".",".",".",".",".",".",".",".",".",".","33.3","."
"Topics in Art History","","Course Total","90","3.822","51.1","8.9","3.3","1.1","1.1",".",".","21.1",".",".",".",".",".",".","13.3","."
"Art & Archaeology-Ancient Rome","304","001","38","3.474","34.2",".","7.9",".","5.3","2.6",".","50.0",".",".",".",".",".",".",".","."
"Northern Renaissance","360","001","45","3.750","48.9","22.2",".","2.2","2.2",".",".","24.4",".",".",".",".",".",".",".","."
"Cities&Sanctuaries-Anc Greece","405","001","40","3.463","35.0","17.5","10.0",".",".","2.5","2.5","32.5",".",".",".",".",".",".",".","."
"Visual Cultures of India","428","001","19","3.733","52.6","10.5","15.8",".",".",".",".","21.1",".",".",".",".",".",".",".","."
"Frank Lloyd Wright","468","001","47","3.911","53.2","4.3",".","2.1",".",".",".","40.4",".",".",".",".",".",".",".","."
"Global Modernisms","480","001","20","4.000","80.0",".",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"Curatorial Studies Exhbtn Clss","506","001","16","3.813","81.3","6.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar in Islamic Art","510","001","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar in Medieval Art","515","001","12","3.545","25.0","50.0","16.7",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Prosmr:19th Cent European Art","555","001","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics-Art History","","Course Total","5","***","","","","","","","","","","","","","","","",""
"","682","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Directed Study","699","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in American Art History","706","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Dimensions of Material Culture","764","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Tpcs: Arch. & Urbanism of Asia","779","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","041","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"Smr:Spec Topics-Art History","800","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Vis Cult: Topics in Vis Cult","802","001","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
