"NUTRITIONAL SCIENCES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"","132","001","479","3.954","95.6","1.3","2.3","0.4","0.2","0.2",".",".",".",".",".",".",".",".",".","."
"","132","003","471","3.904","91.7","3.6","2.1","1.1","0.6","0.6","0.2",".",".",".",".",".",".",".",".","."
"Nutrition Today","","Course Total","950","3.929","93.7","2.4","2.2","0.7","0.4","0.4","0.1",".",".",".",".",".",".",".",".","."
"","299","012","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","071","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","075","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","076","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","080","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","081","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","082","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Nutritional Needs","332","001","104","3.298","46.2","6.7","29.8","2.9","11.5","1.9","1.0",".",".",".",".",".",".",".",".","."
"World Hunger & Malnutrition","350","001","144","3.517","47.2","23.6","17.4","8.3","2.1","0.7",".",".",".",".",".",".","0.7",".",".","."
"Intro Epidemiology","379","002","216","3.535","49.5","26.9","12.5","6.0","4.2","0.5","0.5",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399","100","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","421","004","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","421","005","76","3.954","92.1","6.6","1.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Health Field Experience","","Course Total","88","3.965","93.2","5.7","1.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nutrition in the Life Span","431","001","44","3.134","15.9","22.7","38.6","11.4",".","4.5",".","2.3",".",".",".",".",".",".","4.5","."
"Undergrad Capstone Seminar Lab","500","001","44","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nutr Biochm & Mtblsm","510","001","21","3.643","71.4","14.3","9.5",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"Nutrition, Fitness and Health","525","001","6","3.500","66.7",".","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Community Nutr & Health Equity","540","002","39","3.808","76.9","17.9","2.6",".",".","2.6",".",".",".",".",".",".",".",".",".","."
"Human Disease & Biotechnology","560","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Nutr: Metab-Macronutrients","619","001","9","3.444","22.2","44.4","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Nutritnl Epidemiology","621","001","21","3.952","95.2",".","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Nutrition II","632","001","34","3.632","41.2","44.1","14.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"App Clinical Nutrition II","642","001","34","3.882","79.4","17.6","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Clin Nutrition Pediatrics","651","001","33","3.985","97.0","3.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Nutr Counseling & Educ","652","001","18","3.528","33.3","44.4","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Nutrition Research","653","001","19","3.711","52.6","36.8","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nutr & Dietetics Practicum I","670","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","671","001","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","671","002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nutr & Dietetics Practicum II","","Course Total","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nutraceuticals for Hlth Prfsn","675","001","29","3.603","41.4","37.9","20.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2026","","","","","","","","","","","","","","","","","","","","Page 32 of 493"
