"REAL ESTATE & URBAN LAND E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","",""
"","306
001","214","3.820","76.2","15.4","6.1","0.9","1.4",".",".",".",".",".",".",".",".",".",".","."
"","306
002","49","3.906","83.7","10.2","4.1",".",".",".",".","2.0",".",".",".",".",".",".",".","."
"","306
003","50","3.900","86.0","8.0","6.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","306
004","54","3.889","87.0","9.3",".","1.9","1.9",".",".",".",".",".",".",".",".",".",".","."
"","306
005","51","3.873","90.2","2.0","3.9",".","3.9",".",".",".",".",".",".",".",".",".",".","."
"","306
006","51","3.912","86.3","9.8","3.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","306
007","53","3.877","83.0","9.4","7.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Real Estate Process","Course Total","522","3.863","82.0","11.1","5.0","0.6","1.1",".",".","0.2",".",".",".",".",".",".",".","."
"","365
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
007","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","410
001","45","3.289","33.3","22.2","26.7","8.9","6.7","2.2",".",".",".",".",".",".",".",".",".","."
"","410
003","42","3.451","45.2","28.6","11.9","7.1",".","2.4","2.4",".",".",".",".",".","2.4",".",".","."
"","410
004","28","3.643","64.3","14.3","10.7","7.1","3.6",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","Course Total","115","3.434","45.2","22.6","17.4","7.8","3.5","1.7","0.9",".",".",".",".",".","0.9",".",".","."
"Excel Modeling","411
001","56","3.598","42.9","39.3","12.5","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"","412
002","52","3.827","75.0","15.4","9.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","412
003","18","3.472","33.3","27.8","38.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"ARGUS Modeling","Course Total","70","3.736","64.3","18.6","17.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","415
001","25","3.563","36.0","36.0","24.0",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"","415
003","19","3.447","21.1","52.6","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Valuation of Real Estate","Course Total","44","3.512","29.5","43.2","22.7","2.3",".",".",".","2.3",".",".",".",".",".",".",".","."
"","420
002","39","3.718","51.3","41.0","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","420
003","32","3.453","31.3","43.8","12.5","9.4","3.1",".",".",".",".",".",".",".",".",".",".","."
"","420
005","10","3.450","30.0","30.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","420
006","26","3.635","57.7","19.2","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","Course Total","107","3.593","44.9","35.5","14.0","4.7","0.9",".",".",".",".",".",".",".",".",".",".","."
"","425
001","20","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","425
002","40","3.650","55.0","27.5","12.5","2.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"","425
003","39","3.603","53.8","28.2","12.8",".","2.6","2.6",".",".",".",".",".",".",".",".",".","."
"Real Estate Law","Course Total","99","3.662","55.6","30.3","10.1","1.0","2.0","1.0",".",".",".",".",".",".",".",".",".","."
"Fair Housing Studies","435
001","17","3.735","52.9","41.2","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","530
001","47","3.479","36.2","34.0","19.1","10.6",".",".",".",".",".",".",".",".",".",".",".","."
"","530
002","22","3.614","31.8","59.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","530
003","32","3.484","28.1","40.6","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","530
004","30","3.717","53.3","40.0","3.3","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"","530
005","30","3.533","36.7","36.7","23.3","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Real Est Investment Analysis","Course Total","161","3.553","37.3","40.4","18.0","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Equity Investment","540
001","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","550
001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","550
002","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Private Equity Investment I","Course Total","26","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
