"BUS","","","","","","","","","","","","","","","","","","","",""
"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","",""
"231
GEN BUS","Dept. Total","5676","3.523","43.5","21.7","13.0","4.4","2.3","0.5","0.3","0.1","0.0","13.9","0.2","",".","0.1",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","107","3.259","9.3","0.9","6.5","1.9","1.9",".",".",".",".","79.4",".","",".",".",".",".","."
"Sophomore","","929","3.261","17.4","14.5","14.7","6.4","2.7","0.8","0.5",".",".","42.4","0.4","",".","0.1",".",".","."
"Junior","","1827","3.459","37.5","25.6","15.4","5.7","3.2","0.8","0.2",".",".","11.2","0.2","",".","0.2",".",".","."
"Senior","","1593","3.558","47.6","26.0","12.9","4.6","2.5","0.4","0.3","0.1","0.1","5.6","0.1","",".",".",".",".","."
"Undergraduates","","4456","3.469","36.3","22.8","14.2","5.4","2.8","0.6","0.3","0.0","0.0","17.3","0.2","",".","0.1",".",".","."
"Special","","38","3.264","15.8","18.4","7.9","5.3",".",".","2.6","13.2",".","21.1",".","",".",".",".","15.8","."
"Graduate","","1176","3.790","71.7","17.4","8.7","0.7","0.5","0.2","0.2",".",".","0.6","0.1","",".",".",".",".","."
"Prof Yr 2","","6","3.813","66.7","33.3",".",".",".",".",".",".",".",".",".","",".",".",".",".","."
"Professionals","","6","3.813","66.7","33.3",".",".",".",".",".",".",".",".",".","",".",".",".",".","."
"","Dept. Total","5676","3.523","43.5","21.7","13.0","4.4","2.3","0.5","0.3","0.1","0.0","13.9","0.2","",".","0.1",".","0.1","."
