"ELECTRICAL AND COMPUTER E Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","","",""
"","399","115","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","117","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","122","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","150","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","","Course Total","","57","3.963","93.0","3.5","1.8",".",".",".",".",".",".",".",".",".","1.8",".",".","."
"Electroacoustical Engr","401","001","","67","3.803","70.1","17.9","10.4",".",".",".",".","1.5",".",".",".",".",".",".",".","."
"Electromag Wave Transmissn","420","001","","25","3.940","88.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Signal Processing","431","001","","43","3.837","69.8","27.9","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Photonics","434","001","","19","3.816","73.7","15.8","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","435","001","","7","2.571",".","14.3","14.3","42.9","28.6",".",".",".",".",".",".",".",".",".",".","."
"","435","002","","7","2.786","14.3",".","42.9","14.3","28.6",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Cryptography","","Course Total","","14","2.679","7.1","7.1","28.6","28.6","28.6",".",".",".",".",".",".",".",".",".",".","."
"Communication Systems II","437","001","","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Kinemat Dynam&Ctrl Robot Manip","441","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Embedded Microproc System Dsgn","453","001","","41","3.829","78.0","14.6","2.4","4.9",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Design in ECE","455","001","","40","3.679","47.5","37.5","12.5",".",".",".",".","2.5",".",".",".",".",".",".",".","."
"Computers in Medicine","463","001","","15","3.533","33.3","46.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Honors in Research","489","113","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elec Mach&Drive Systm Lab","504","001","","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","506","003","","8","3.625","50.0","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Software Engineering","","Course Total","","19","3.684","57.9","26.3","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Optimization","524","001","","21","3.310","28.6","33.3","19.0","9.5","9.5",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Plasmas","525","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Plasma Confinement&Heating","527","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","532","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","532","002","","16","2.969","37.5","6.3","12.5","25.0","12.5",".","6.3",".",".",".",".",".",".",".",".","."
"Mtrx Mthds in Machine Learning","","Course Total","","21","3.024","38.1","4.8","14.3","28.6","9.5",".","4.8",".",".",".",".",".",".",".",".","."
"Intro-Artificl Neural Ntwrks","539","001","","17","3.321","23.5","23.5","23.5","5.9","5.9",".",".","17.6",".",".",".",".",".",".",".","."
"Adv Com Circuit Dsgn","547","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"IC Fabrication Lab","549","001","","22","3.295","18.2","40.9","22.7","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Sys Design & Synthesis","551","001","","78","3.308","32.1","28.2","24.4","7.7","5.1","1.3","1.3",".",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","552","001","","73","3.632","50.7","30.1","12.3","4.1","1.4",".",".",".",".",".",".",".","1.4",".",".","."
"Digital Engineering Lab","554","001","","38","3.855","71.1","28.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dsgn Automation Digital Sys","556","001","","30","3.533","53.3","20.0","16.7","6.7",".","3.3",".",".",".",".",".",".",".",".",".","."
"Automatic Controls Lab","577","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Doctoral Research","611","001","","37","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
