"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"PUBLHLTH","","","","","","","","","","","","","","","","","","","",""
"Senior","1","***","","","","","","","","","",".","",".","",".",".",".",".","."
"Undergraduates","1","***","","","","","","","","","",".","",".","",".",".",".",".","."
"Special","7","3.833","42.9","14.3",".",".",".",".",".","42.9",".",".","",".","",".",".",".",".","."
"Graduate","12","4.000","58.3",".",".",".",".",".",".","41.7",".",".","",".","",".",".",".",".","."
"Prof Yr 1","25","3.915","92.0",".",".",".","4.0",".",".","4.0",".",".","",".","",".",".",".",".","."
"Prof Yr 2","9","4.000","77.8",".",".",".",".",".",".","22.2",".",".","",".","",".",".",".",".","."
"Prof Yr 3","6","",".",".",".",".",".",".",".","100.0",".",".","",".","",".",".",".",".","."
"Prof Yr 4","226","3.840","72.6","5.8","2.7","0.4","1.3","0.4","0.4","14.6","0.4",".","",".","",".","1.3",".",".","."
"Professionals","266","3.851","72.9","4.9","2.3","0.4","1.5","0.4","0.4","15.8","0.4",".","",".","",".","1.1",".",".","."
