"DESIGN STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","","",""
"Introduction to Textile Design","101","001","","14","3.923","78.6","14.3",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"What is Design?","123","001","","59","3.661","74.6","8.5","5.1","5.1","5.1",".","1.7",".",".",".",".",".",".",".",".","."
"Vis Thinking - Form and Space","140","001","","86","3.442","60.5","11.6","18.6",".","2.3","1.2","5.8",".",".",".",".",".",".",".",".","."
"Vis Thinking- Pixels & Pencils","150","001","","31","3.726","90.3","3.2",".",".",".",".","6.5",".",".",".",".",".",".",".",".","."
"","152","001","","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","152","002","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fashion Design I","","Course Total","","32","3.953","93.8","3.1","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sewn Construction I","153","001","","15","3.692","66.7","13.3",".",".",".","6.7",".",".",".",".",".",".","13.3",".",".","."
"Design: Fundamentals II","220","001","","71","3.901","93.0","2.8","2.8",".",".",".","1.4",".",".",".",".",".",".",".",".","."
"","225","001","","16","3.400","43.8","25.0","6.3",".","18.8",".",".",".",".",".",".",".","6.3",".",".","."
"","225","002","","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Apparel Design I","","Course Total","","29","3.643","65.5","13.8","6.9",".","10.3",".",".",".",".",".",".",".","3.4",".",".","."
"Textile Dsgn:Print & Dye I","227","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Embellishment I","228","001","","17","3.853","88.2","5.9",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","240","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","240","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Human-centered Design/Business","","Course Total","","6","3.083","50.0","16.7","16.7",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"","242","001","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","242","002","","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Visual Communication II","","Course Total","","32","3.938","90.6","6.3","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Science","251","001","","36","3.806","83.3","5.6","2.8","5.6","2.8",".",".",".",".",".",".",".",".",".",".","."
"Design Leadership Symposium","252","001","","28","3.696","85.7",".","3.6","3.6","3.6",".","3.6",".",".",".",".",".",".",".",".","."
"Dimensions-Material Culture","264","001","","36","3.639","61.1","25.0","8.3","2.8",".",".","2.8",".",".",".",".",".",".",".",".","."
"Interior Design II","322","001","","32","3.953","90.6","9.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Fabrication","333","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design Thinking","341","001","","36","3.694","52.8","38.9","2.8","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Patternmaking for Fashion II","353","001","","9","3.444","55.6","11.1",".","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"Design-Related Intl Experience","361","00A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","401","00A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","401","00B","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","401","00C","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","401","00D","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","401","00E","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"FIT Accessories Design","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"","404","00A","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","404","00B","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","404","00C","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","404","00D","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"FIT Fashion Business Mgmt","","Course Total","","7","3.143","42.9",".","28.6",".","28.6",".",".",".",".",".",".",".",".",".",".","."
"","405","00A","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2026","","","","","","","","","","","","","","","","","","","","Page 172 of 493",""
