"LIBRARY & INFORMATION STUD Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","",""
"Introduction to Computing","102
001","63","3.937","93.7","3.2",".","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"The Information Society","201
001","136","3.658","69.1","16.9","7.4","1.5","2.2",".","2.9",".",".",".",".",".",".",".",".","."
"Divides&Differences-Multicultr","202
001","308","3.894","88.3","7.1","1.9","1.6","0.6",".","0.3",".",".",".",".",".",".",".",".","."
"Digital: Privacy & Technology","220
001","66","3.879","87.9","9.1","1.5",".",".",".","1.5",".",".",".",".",".",".",".",".","."
"Tpcs in Info St-Social Aspects","340
001","68","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History and Future of Books","350
001","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Digital Information","351
001","146","3.846","87.0","5.5","4.8","0.7","0.7",".","1.4",".",".",".",".",".",".",".",".","."
"","399
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading & Research","Course Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","407
001","49","3.552","69.4","6.1","8.2","8.2",".","4.1","2.0",".",".",".",".",".",".",".","2.0","."
"","407
002","73","3.349","30.1","41.1","13.7","6.8","5.5","1.4","1.4",".",".",".",".",".",".",".",".","."
"Data Storytelling","Course Total","122","3.430","45.9","27.0","11.5","7.4","3.3","2.5","1.6",".",".",".",".",".",".",".","0.8","."
"Concepts of Data & Info Scienc","440
001","103","3.908","93.2","1.9","2.9","1.0",".",".","1.0",".",".",".",".",".",".",".",".","."
"Tech and Development Africa","444
001","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","461
001","119","3.769","75.6","12.6","9.2",".","0.8","0.8","0.8",".",".",".",".",".",".",".",".","."
"","461
002","78","3.833","82.1","11.5","2.6","1.3","1.3","1.3",".",".",".",".",".",".",".",".",".","."
"","461
003","49","3.724","65.3","20.4","10.2","2.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"","461
004","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","461
005","65","3.831","70.8","24.6","4.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data Ethics and Policy","Course Total","320","3.788","74.1","16.9","6.6","0.6","0.9","0.6","0.3",".",".",".",".",".",".",".",".","."
"Applied Database Design","464
001","88","3.682","65.9","20.5","8.0",".","3.4","2.3",".",".",".",".",".",".",".",".",".","."
"","470
001","63","3.627","79.4","3.2","3.2","7.9","1.6","1.6","3.2",".",".",".",".",".",".",".",".","."
"","470
002","31","3.790","83.9","9.7","3.2",".",".",".","3.2",".",".",".",".",".",".",".",".","."
"Interaction Design Studio","Course Total","94","3.681","80.9","5.3","3.2","5.3","1.1","1.1","3.2",".",".",".",".",".",".",".",".","."
"Intro to Web Development","472
001","17","3.281","41.2","29.4","11.8",".",".","5.9","5.9",".",".",".",".",".","5.9",".",".","."
"","500
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","500
002","16","3.813","68.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","500
004","28","3.661","50.0","35.7","10.7","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","500
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Code and Power","Course Total","47","3.734","59.6","29.8","8.5","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"","501
002","14","3.769","57.1","28.6","7.1",".",".",".",".",".",".",".",".",".",".","7.1",".","."
"","501
003","13","3.846","92.3",".",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","501
004","10","3.550","60.0","10.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Text Mining","Course Total","37","3.736","70.3","13.5","5.4","5.4","2.7",".",".",".",".",".",".",".",".","2.7",".","."
"","510
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2026","","","","","","","","","","","","","","","","","","Page 293 of 493",""
