"FOOD SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","","",""
"Discovering Food Science
201","001","","39","",".",".",".",".",".",".",".","2.6",".","97.4",".",".",".",".",".","."
"299","017","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"299","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Sci & Technol of Food
301","001","","38","2.697","21.1","10.5","23.7","13.2","13.2","18.4",".",".",".",".",".",".",".",".",".","."
"Food Laws and Regulations
321","001","","27","3.944","92.6","3.7","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Precision Fermentation
378","001","","23","3.932","82.6","13.0",".",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ
399","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Food Analysis
412","001","","23","2.891","21.7","17.4","17.4","21.7","13.0","8.7",".",".",".",".",".",".",".",".",".","."
"Principles-Food Preservation
432","001","","24","2.979","20.8","20.8","16.7","25.0","12.5","4.2",".",".",".",".",".",".",".",".",".","."
"Chem & Technol-Dairy Products
511","001","","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Integrated Food Functionality
514","001","","21","3.548","42.9","23.8","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fermented Foods and Beverages
550","001","","39","3.795","69.2","20.5","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"551","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"551","002","","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Fermentation Laboratory","Course Total","","27","3.926","85.2","14.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Seminar
603","001","","21","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chem & Technol-Dairy Products
611","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis
682","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Adv Food Microbio
725","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Food Sci Teaching
799","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar Advanced
900","001","","30","3.850","93.3","3.3",".",".",".",".","3.3",".",".",".",".",".",".",".",".","."
"990","009","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","33","",".",".",".",".",".",".",".","90.9",".",".",".","9.1",".",".",".","."
