"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"","354
002","213","3.005","23.0","9.4","33.3","20.7","10.3","1.9","0.9",".",".",".",".",".","0.5",".",".","."
"","354
010","45","3.433","22.2","46.7","28.9",".","2.2",".",".",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","480","3.123","26.3","18.1","30.2","14.0","7.9","1.9","1.5",".",".",".",".",".","0.2",".",".","."
"","368
001","13","",".",".",".",".",".",".",".",".",".","92.3",".",".",".",".","7.7","."
"","368
003","72","",".",".",".",".",".",".",".","1.4",".","93.1","4.2",".",".",".","1.4","."
"Learn a Programming Language","Course Total","85","",".",".",".",".",".",".",".","1.2",".","92.9","3.5",".",".",".","2.4","."
"","400
001","217","3.484","42.4","28.6","22.6","2.8","1.4","1.4","0.9",".",".",".",".",".",".",".",".","."
"","400
002","209","3.404","35.4","33.5","18.2","8.6","1.0","1.9","1.0",".",".",".",".",".","0.5",".",".","."
"","400
003","53","3.180","24.5","34.0","22.6","3.8","1.9","1.9","5.7",".",".",".",".",".","5.7",".",".","."
"Programming III","Course Total","479","3.417","37.4","31.3","20.7","5.4","1.3","1.7","1.5",".",".",".",".",".","0.8",".",".","."
"Undergrad Co-op Edu","401
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Introducing Comp Sci to K-12","402
001","27","3.889","88.9","7.4",".",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"Intro to Numerical Methods","412
001","22","3.000","22.7","9.1","50.0",".","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"","435
001","20","3.350","40.0",".","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","435
002","20","3.050","15.0","20.0","40.0","10.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Cryptography","Course Total","40","3.200","27.5","10.0","45.0","10.0","7.5",".",".",".",".",".",".",".",".",".",".","."
"Intro to Web Development","472
001","15","3.750","60.0","20.0","13.3",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","475
001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475
002","8","3.375","50.0",".","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","475
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Combinatorics","Course Total","18","3.250","50.0","16.7","11.1","11.1",".","5.6","5.6",".",".",".",".",".",".",".",".","."
"CS Education","502
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
001","48","3.688","60.4","20.8","14.6","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","506
002","41","3.341","24.4","43.9","17.1","4.9","9.8",".",".",".",".",".",".",".",".",".",".","."
"","506
003","65","3.677","66.2","12.3","15.4","3.1","3.1",".",".",".",".",".",".",".",".",".",".","."
"Software Engineering","Course Total","154","3.591","53.2","23.4","15.6","3.9","3.9",".",".",".",".",".",".",".",".",".",".","."
"Numerical Linear Algebra","513
001","22","3.167","31.8","31.8","9.1","9.1",".","13.6",".","4.5",".",".",".",".",".",".",".","."
"Numerical Analysis","514
001","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Theory of Computing","520
001","38","2.730","15.8","15.8","21.1","21.1","10.5","10.5","2.6",".",".",".",".",".",".","2.6",".","."
"Introduction to Optimization","524
001","55","3.055","25.5","23.6","16.4","20.0","9.1","3.6","1.8",".",".",".",".",".",".",".",".","."
"Linear Optimization","525
001","24","3.292","37.5","16.7","25.0","8.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"","532
001","35","3.486","51.4","22.9","14.3","5.7","2.9",".","2.9",".",".",".",".",".",".",".",".","."
"","532
002","93","3.315","47.3","17.2","8.6","15.1","7.5",".","3.2",".","1.1",".",".",".",".",".",".","."
"Mtrx Mthds in Machine Learning","Course Total","128","3.362","48.4","18.8","10.2","12.5","6.3",".","3.1",".","0.8",".",".",".",".",".",".","."
"Intro-Progm Langs&Compilers","536
001","66","2.992","31.8","12.1","22.7","16.7","3.0","9.1","3.0",".",".",".",".",".",".","1.5",".","."
"","537
001","137","3.408","26.3","45.3","19.0","3.6","3.6","1.5",".",".",".",".",".",".","0.7",".",".","."
"","537
002","154","3.354","26.0","40.9","15.6","9.1","5.8","0.6",".","0.6",".",".",".",".","1.3",".",".","."
"Intro to Operating Systems","Course Total","291","3.380","26.1","43.0","17.2","6.5","4.8","1.0",".","0.3",".",".",".",".","1.0",".",".","."
"Thry & Desgn-Progrmg Langs","538
001","16","2.969","31.3","6.3","18.8","25.0","12.5","6.3",".",".",".",".",".",".",".",".",".","."
"Intro-Artificl Neural Ntwrks","539
001","13","3.038","23.1","15.4","15.4","38.5","7.7",".",".",".",".",".",".",".",".",".",".","."
