"MEDICAL SCIENCES - VET MED","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","",""
"Sm Animal Emrgncy&Crit Care I","576
001","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Vet Diag&Therapeut Techniq","625
001","96","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Companion Animal&Equine Med II","633
001","96","3.432","41.7","17.7","32.3","2.1","6.3",".",".",".",".",".",".",".",".",".",".","."
"Swine Medicine","635
001","96","3.995","99.0","1.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Small Animal Neurology","667
001","19","4.000","26.3",".",".",".",".",".",".","73.7",".",".",".",".",".",".",".","."
"Clin Dermatology Rotation","668
001","16","4.000","31.3",".",".",".",".",".",".","68.8",".",".",".",".",".",".",".","."
"Small Anml Cardiolgy Rotatn","669
001","23","4.000","26.1",".",".",".",".",".",".","73.9",".",".",".",".",".",".",".","."
"","670
001","46","4.000","30.4",".",".",".",".",".",".","69.6",".",".",".",".",".",".",".","."
"","670
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Rotation:Lrge Animal Med","Course Total","48","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"Sr Rotation:Ambulatory Serv","674
001","29","4.000","48.3",".",".",".",".",".",".","51.7",".",".",".",".",".",".",".","."
"","675
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
007","10","4.000","30.0",".",".",".",".",".",".","70.0",".",".",".",".",".",".",".","."
"","675
009","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
021","96","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
023","96","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
031","90","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
033","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
049","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
055","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Special Topics","Course Total","320","4.000","38.1",".",".",".",".",".",".","61.9",".",".",".",".",".",".",".","."
"","678
001","45","4.000","26.7",".",".",".",".",".",".","73.3",".",".",".",".",".",".",".","."
"","678
002","8","4.000","37.5",".",".",".",".",".",".","62.5",".",".",".",".",".",".",".","."
"Small Animal Internal Med","Course Total","53","4.000","28.3",".",".",".",".",".",".","71.7",".",".",".",".",".",".",".","."
"Small Animal Oncology","679
001","18","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"","699
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
055","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
060","25","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Directed Study","Course Total","27","4.000","7.4",".",".",".",".",".",".","92.6",".",".",".",".",".",".",".","."
"Prod Med III-Appl Dy Nutr","705
001","9","4.000","11.1",".",".",".",".",".",".","88.9",".",".",".",".",".",".",".","."
"","708
008","32","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","708
009","22","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","708
010","37","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","708
011","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","708
012","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","708
013","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","708
015","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","708
016","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","708
017","24","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","708
018","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Pre-clinical Topics in Vet Med","Course Total","197","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
