"TERM : 1264","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","","","","Office of the Registrar",""
"Spring 2025-2026","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RADIOLOGY","Section
#","Ave","A","","AB","","B","","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR
Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"832
RADIOL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","926
043
1","***","","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".   
."
"","926
045
1","***","","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".   
."
"","926
046
1","***","","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".   
."
"Interventional Radiology","Course Total
6","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".  
."
"Screening in Radiology","928
010
3","***","","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".   
."
"832
RADIOL","Dept. Total
148","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".  
."
"Summary by Level","#","Ave","A","","AB","","B","","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR
Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"832
RADIOL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Prof Yr 1","1","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".  
."
"Prof Yr 3","48","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".  
."
"Prof Yr 4","99","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".  
."
"Professionals","148","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".  
."
"","Dept. Total
148","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".  
."
"July 16, 2026","","","","","","","","","","","","","","","","","","","","","","","","","","","Page 456 of 493"
"* Please note: This report does not combine crosslisted courses","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"** Please note: The Law School uses a non-standard grade scale. Some of these grades cannot be mapped to our standard A/B, BC grading scale and are therefore excluded from this","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"report..","","","","","","","","","","","","","","","","","","","","","","","","","","",""
