"FOLKLORE PROGRAM","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","","",""
"Introduction to Folklore","100
001","","178","3.871","86.0","7.3","2.8","1.1",".",".","1.1",".",".",".",".",".","1.7",".",".","."
"Intro US Ethnic/Am Ind Studies","102
001","","59","3.932","86.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sacred Places and Journeys","104
001","","41","3.271","24.4","14.6","12.2","2.4",".",".","4.9","41.5",".",".",".",".",".",".",".","."
"","210
001","","12","3.625","58.3","16.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","210
002","","11","3.727","81.8",".","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","210
003","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
004","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
005","","16","3.688","87.5",".","6.3",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","210
006","","7","3.786","85.7",".",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","210
007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","210
008","","13","3.654","46.2","46.2",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"The African Storyteller","Course Total","","86","3.709","69.8","16.3","7.0","4.7","1.2",".","1.2",".",".",".",".",".",".",".",".","."
"Horror Express of Natl Angst","225
001","","25","3.960","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
001","","60","3.955","86.7","5.0","1.7",".",".",".",".",".",".",".",".",".","1.7","5.0",".","."
"","315
002","","29","3.862","82.8","13.8",".",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"Interm Topics in Folklore","Course Total","","89","3.924","85.4","7.9","1.1",".","1.1",".",".",".",".",".",".",".","1.1","3.4",".","."
"The Irish Tradition","317
001","","49","3.302","42.9","20.4","10.2","4.1","2.0","2.0","6.1","12.2",".",".",".",".",".",".",".","."
"Afro Asian Improv","319
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Folklore of Wisconsin","320
001","","26","4.000","84.6",".",".",".",".",".",".",".",".",".",".",".",".","15.4",".","."
"Vampires","327
001","","112","3.703","70.5","15.2","5.4","4.5","1.8","0.9","0.9",".",".",".",".",".",".",".","0.9","."
"Immigration and Indigeneity","442
001","","21","3.941","76.2",".","4.8",".",".",".",".","19.0",".",".",".",".",".",".",".","."
