"TERM : 1264","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2025-2026","","","","","","","","","","","","","","","","","","","","","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","",""
"PATHOLOGY AND LABORATORY Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","","","",""
"Dept. Total
704
PATH","545","3.961","48.3","1.8","0.9","0.2","0.2","",".","",".","33.4","0.2","11.6","",".","2.9","",".",".","0.6","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","8","4.000","100.0",".",".",".",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"Junior","64","4.000","100.0",".",".",".",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"Senior","134","3.973","97.0","1.5","0.7","0.7",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"Undergraduates","206","3.982","98.1","1.0","0.5","0.5",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"Special","10","4.000","70.0",".",".",".",".","",".","",".",".",".",".","",".",".","",".",".","30.0","."
"Graduate","236","3.850","44.9","3.4","1.7",".","0.4","",".","",".","21.2","0.4","22.5","",".","5.5","",".",".",".","."
"Prof Yr 2","3","***","","","","","","","","","","","","33.3","",".",".","",".",".",".","."
"Prof Yr 3","68","#Num!","2.9",".",".",".",".","",".","",".","79.4",".","13.2","",".","4.4","",".",".",".","."
"Prof Yr 4","77","",".",".",".",".",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"Professionals","148","#Num!","2.0",".",".",".",".","",".","",".","89.2",".","6.8","",".","2.0","",".",".",".","."
