"PLANT SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"760
PLANTSCI","","","","","","","","","","","","","","","","","","","",""
"299","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Greenhouse Cultivation
334","001","","28","3.607","64.3","10.7","10.7","10.7","3.6",".",".",".",".",".",".",".",".",".",".","."
"335","001","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"335","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Greenhouse Cultivation Lab","Course Total","","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plant Breeding&Biotechnolgy
338","001","","32","2.887","28.1","3.1","31.3","6.3","18.8","9.4",".","3.1",".",".",".",".",".",".",".","."
"GM Crops:Sci,Reg,Controversy
360","001","","17","3.441","52.9","5.9","29.4",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"Intro to Organic Agriculture
367","001","","10","3.700","70.0","20.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Food and Seed Sovereignty
380","001","","55","3.255","36.4","29.1","14.5","3.6","10.9","3.6","1.8",".",".",".",".",".",".",".",".","."
"Senior Capstone Experience
510","001","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Molec Approach-Crop Improvt
550","001","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Selection Theory-Quant Traits
812","001","","13","3.688","38.5","7.7","15.4",".",".",".",".","38.5",".",".",".",".",".",".",".","."
"Seminar-Plant Breeding
957","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","4","***","","","","","","","","","",".",".",".",".",".",".","."
