"POPULATION HEALTH SCIENCE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"Intro Public Health
370","001","","229","3.904","92.1","4.8","1.3","0.4",".",".","1.3",".",".",".",".",".",".",".",".","."
"Intro-Environmental Health
471","001","","39","3.333","20.5","46.2","17.9","10.3","5.1",".",".",".",".",".",".",".",".",".",".","."
"Economics of Health Care
548","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Regression Methods-Pop Health
552","001","","19","3.474","31.6","42.1","21.1",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Intro-Nutritnl Epidemiology
621","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Public Health Genomics
636","001","","12","3.727","58.3","16.7","16.7",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Special Topics
650","093","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","086","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","091","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","095","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Translat'l & Outcomes Research
709","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Climate Change Medicine
728","008","","27","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Climt Chng, Human & Plan Hlth
739","002","","20","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Activity Epidemiology
791","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Principles-Populatn Health Sci
795","002","","18","3.917","88.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Health Services Research
796","001","","6","3.333","16.7","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Epidemiologic Methods
798","001","","20","3.184","30.0","15.0","30.0","10.0","5.0","5.0",".","5.0",".",".",".",".",".",".",".","."
"Epidemiology-Infect Disease
801","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practice of Epidemiology
806","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Research Seminar
820","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Genomic Epidemiology
849","001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"915","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"915","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"915","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"915","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"915","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"915","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Internl Hlth Systems & Policy","Course Total","","20","4.000","10.0",".",".",".",".",".",".","90.0",".",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
