"ALS","","","","","","","","","","","","","","","","","","","","",""
"FOREST AND WILDLIFE ECOLO","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","","",""
"F&W ECOL
396","Dept. Total","645","3.252","32.9","20.3","20.3","8.2","7.6","1.6","0.5","4.2","",".",".","",".","4.0","0.3",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","36","2.967","8.3","30.6","36.1","11.1","8.3","5.6",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","66","3.232","34.8","19.7","15.2","13.6","15.2",".",".",".","",".",".","",".",".","1.5",".",".","."
"Junior","","146","3.053","25.3","22.6","22.6","14.4","12.3","2.1","0.7",".","",".",".","",".",".",".",".",".","."
"Senior","","285","3.318","38.6","21.4","25.3","6.0","6.0","1.8","0.7",".","",".",".","",".",".","0.4",".",".","."
"Undergraduates","","533","3.209","32.5","22.1","24.0","9.6","9.0","1.9","0.6",".","",".",".","",".",".","0.4",".",".","."
"Special","","14","3.429","21.4","35.7","14.3","7.1",".",".",".","14.3","",".",".","",".",".",".",".","7.1","."
"Graduate","","97","3.763","36.1","8.2","1.0","1.0","1.0",".",".","25.8","",".",".","",".","26.8",".",".",".","."
"Prof Yr 4","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","645","3.252","32.9","20.3","20.3","8.2","7.6","1.6","0.5","4.2","",".",".","",".","4.0","0.3",".","0.2","."
