"Special Topics in STS","403
001","","5","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Directed Study","699
002","","1","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Sci, Technol & Med in Society","901
001","","5","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Current Topics-Sci & Tech St","902
001","","5","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"STS
875","Dept. Total","","47","3.508","34.0","23.4","23.4","4.3","",".","",".","",".","",".","",".","10.6","",".","",".","4.3",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"875
STS","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","2","3.500",".","100.0",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","","7","3.286","14.3","28.6","57.1",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Junior","","","13","3.500","46.2","15.4","30.8","7.7","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","","13","3.447","30.8","38.5","23.1","7.7","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","","35","3.438","31.4","31.4","31.4","5.7","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Graduate","","","12","4.000","41.7",".",".",".","",".","",".","",".","",".","",".","41.7","",".","",".","16.7",".",".","."
"","Dept. Total","","47","3.508","34.0","23.4","23.4","4.3","",".","",".","",".","",".","",".","10.6","",".","",".","4.3",".",".","."
