"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"","301
001","161","3.394","29.2","40.4","18.0","8.7","2.5","0.6","0.6",".",".",".",".",".",".",".",".","."
"","301
002","97","3.729","59.8","27.8","9.3","1.0","1.0",".",".","1.0",".",".",".",".",".",".",".","."
"Human Abilities & Learning","Course Total","258","3.519","40.7","35.7","14.7","5.8","1.9","0.4","0.4","0.4",".",".",".",".",".",".",".","."
"Human Dev-Infancy&Childhood","320
001","142","3.745","69.0","15.5","11.3","1.4","2.1",".",".",".","0.7",".",".",".",".",".",".","."
"","321
001","131","3.461","47.3","22.1","15.3","3.1","6.1","3.1",".","1.5",".",".",".",".","1.5",".",".","."
"","002
321","106","2.644","12.3","15.1","21.7","17.9","17.9","8.5","4.7",".","0.9",".",".",".","0.9",".",".","."
"Human Develop-Adolescence","Course Total","237","3.113","31.6","19.0","18.1","9.7","11.4","5.5","2.1","0.8","0.4",".",".",".","1.3",".",".","."
"Hum Devel Chldhood-Adolescn","001
331","88","3.557","48.9","31.8","11.4","2.3","4.5",".","1.1",".",".",".",".",".",".",".",".","."
"","506
001","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
002","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
506","21","4.000","95.2",".",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"Contemp Issues in Ed Psych","Course Total","50","3.939","86.0","12.0",".",".",".",".",".",".",".",".",".",".","2.0",".",".","."
"Behavior Analysis in Classrms","541
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
013","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
014","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
029","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
047","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","35","4.000","94.3",".",".",".",".",".",".",".",".",".",".",".","5.7",".",".","."
"Seminar-Research in Ed Psyc II","710
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
002","7","3.917","71.4","14.3",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","711
003","11","3.818","81.8",".","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
004","20","3.789","70.0","15.0","5.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"","711
005","8","3.625","50.0","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","711
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
007","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
009","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics-Ed Psych","Course Total","92","3.866","84.8","7.6","3.3","2.2",".",".",".","2.2",".",".",".",".",".",".",".","."
"Adolescent Development","721
001","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psych of Individual Difference","736
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cog Assess-Children in Schools","740
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","761
001","47","3.862","80.9","10.6","8.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","761
002","21","3.881","81.0","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth-Applied to Ed II","Course Total","68","3.868","80.9","11.8","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Scaling, Factr&Cluster Anal","773
001","33","3.656","48.5","30.3","18.2",".",".",".",".","3.0",".",".",".",".",".",".",".","."
"Intro to Learning Sciences II","796
001","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Pract-School Psych","Course Total","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chld&Adoles Psychpathl/Schl","844
001","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
