"","ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","","",""
"Communication Networks","537","001","","25","3.240","20.0","24.0","40.0","16.0",".",".",".",".",".",".",".",".",".",".",".","."
"IC Fabrication Lab","549","001","","9","3.556","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Sys Design & Synthesis","551","001","","46","3.337","28.3","30.4","26.1","10.9","4.3",".",".",".",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","552","001","","45","3.633","62.2","20.0","8.9","4.4","2.2","2.2",".",".",".",".",".",".",".",".",".","."
"Digital Engineering Lab","554","001","","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dsgn Automation Digital Sys","556","001","","30","3.217","23.3","20.0","40.0","10.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"All of Signal Processing","630","001","","25","3.813","76.0","12.0","4.0",".","4.0",".",".","4.0",".",".",".",".",".",".",".","."
"","699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","035","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","066","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","092","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","263","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","","Course Total","","35","3.965","82.9","2.9","2.9",".",".",".",".","11.4",".",".",".",".",".",".",".","."
"Grad Cooperative Educ Program","702","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Mobile and Wireless Networking","707","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711","002","","25","3.354","28.0","24.0","32.0","12.0",".",".",".",".",".",".",".",".","4.0",".",".","."
"","711","003","","10","3.563","30.0","30.0","20.0",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"Dynamcs& Control-AC Drives","","Course Total","","35","3.406","28.6","25.7","28.6","8.6",".",".",".",".",".",".",".",".","8.6",".",".","."
"","713","001","","26","3.480","38.5","23.1","26.9","7.7",".",".",".",".",".",".",".",".",".",".","3.8","."
"","713","003","","9","3.111",".","22.2","77.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electrmgntc Dsgn-AC Machins","","Course Total","","35","3.382","28.6","22.9","40.0","5.7",".",".",".",".",".",".",".",".",".",".","2.9","."
"Utilty Appl-Powr Electroncs","714","003","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Waves&Instabilities-Plasmas","724","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plasma Magnetohydrodynamics","726","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"VLSI Array-Dig Signal Proc","734","001","","13","3.667","46.2","30.8","15.4",".",".",".",".",".",".",".",".",".",".","7.7",".","."
"Computatnl Meth-Electromagntcs","742","001","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"High-Powr Diode Lasers&Amps","743","001","","22","3.705","54.5","31.8","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Microwave Circuits&Devices","744","001","","12","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Solid State Electronics","745","001","","29","3.537","34.5","31.0","27.6",".",".",".",".","6.9",".",".",".",".",".",".",".","."
"Adv Computer Architecture I","752","001","","20","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Computr Architecture II","757","001","","28","3.556","21.4","64.3","10.7",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"July 22, 2013","","","","","","","","","","","","","","","","","","","","Page 117 of 409",""
