"FOLKLORE PROGRAM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","",""
"Introduction to Folklore","100
001","190","3.584","45.8","37.9","9.5","4.2","1.6","0.5","0.5",".",".",".",".",".",".",".",".","."
"Intro-Comparatv Ethnic Studies","102
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Mus Cult of the World","103
001","25","3.440","48.0","32.0","4.0",".","12.0","4.0",".",".",".",".",".",".",".",".",".","."
"The African Storyteller","210
001","19","2.684","5.3","5.3","36.8","26.3","26.3",".",".",".",".",".",".",".",".",".",".","."
"Hero&Trickster-Oral Traditn","270
001","9","3.056","22.2","22.2","11.1","33.3","11.1",".",".",".",".",".",".",".",".",".",".","."
"In Trans:Mythlgy-Scandnavia","342
001","12","2.744","8.3","41.7","16.7","16.7",".","8.3","8.3",".",".",".",".",".",".",".",".","."
"Lit in Trans-Icelandic Saga","346
001","13","3.721","46.2","53.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Kalevala&Finn Folklr-Transl","001
347","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dir Stdy-Folklore Undergrad","399
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Celtic-Scand Cultrl Interrelat","446
001","24","3.761","50.0","45.8",".",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"","510
001","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","510
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Folklore Theory","Course Total","15","4.000","93.3",".",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","530
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","530
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","530
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Folklore","Course Total","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Amer Folk&Vernacular Music","535
001","21","3.789","57.1","28.6","4.8",".",".",".",".",".",".",".",".",".","9.5",".",".","."
"","699
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independ Stdy-Folklore Grad","Course Total","2","***","","","","","","","","","","","","","","","",""
"FOLKLORE
380","Dept. Total","351","3.541","46.2","33.3","9.1","5.1","3.4","0.9","0.6","0.6",".",".",".",".","0.9",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","",""
"Freshmen","","12","3.300","33.3","25.0","16.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","83","3.467","39.8","37.3","12.0","3.6","4.8","1.2","1.2",".",".",".",".",".",".",".",".","."
"Junior","","105","3.604","47.6","33.3","9.5","5.7","1.9",".",".",".",".",".",".",".","1.9",".",".","."
"Senior","","132","3.528","47.0","34.8","6.8","5.3","3.0","1.5","0.8",".",".",".",".",".","0.8",".",".","."
"Undergraduates","","332","3.529","44.9","34.6","9.3","5.4","3.3","0.9","0.6",".",".",".",".",".","0.9",".",".","."
"Special","","6","3.231","16.7","16.7","16.7",".","16.7",".",".","33.3",".",".",".",".",".",".",".","."
"Graduate","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","351","3.541","46.2","33.3","9.1","5.1","3.4","0.9","0.6","0.6",".",".",".",".","0.9",".",".","."
