"FOREST AND WILDLIFE ECOLO","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","",""
"110
Living with Wildlife","001","","134","3.030","17.9","28.4","21.6","14.9","12.7","4.5",".",".",".",".",".",".",".",".",".","."
"248
Envir, Nat Resources & Society","001","","13","3.577","61.5","15.4","7.7","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"299","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","051","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"300
Forest Biometry","001","","16","3.344","31.3","31.3","18.8","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"306
Terr Vertbrt:Life Hist&Ecol","001","","46","2.878","6.5","19.6","30.4","26.1","15.2",".",".",".",".",".",".",".",".",".","2.2","."
"335
Hum/An Relatn:Bio&Phils Iss","001","","36","2.750","8.3","11.1","44.4","5.6","27.8",".","2.8",".",".",".",".",".",".",".",".","."
"375
Special Topics","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"379
Princ-Wildlife Management","001","","49","2.906","20.4","16.3","36.7","2.0","12.2","6.1","4.1","2.0",".",".",".",".",".",".",".","."
"399","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","023","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"404
Wildlife Damage Management","001","","17","3.265","5.9","52.9","35.3",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"410
Principles of Silviculture","001","","34","3.452","35.3","32.4","14.7","14.7","2.9",".",".",".",".",".",".",".",".",".",".","."
"451
Environmental Biogeochem","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"460
General Ecology","001","","10","2.667","10.0","10.0","30.0","10.0","20.0","10.0",".","10.0",".",".",".",".",".",".",".","."
"501
Forest Fire Behavior & Mgmt","001","","35","3.471","42.9","20.0","22.9","8.6","2.9",".",".","2.9",".",".",".",".",".",".",".","."
"515
Renewable Resources Policy","001","","24","3.417","25.0","33.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"565
Principles-Landscape Ecology","001","","15","3.667","66.7","6.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"572
Stat Meth for Bioscience II","001","","11","3.636","36.4","54.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"599
Wildlife Research Capstone","001","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"651
Conservation Biology","001","","8","3.571","37.5","25.0","25.0",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"652
Decisn Meth-Nat Resrc Mangr","001","","17","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"655
Animal Population Dynamics","001","","40","3.269","22.5","30.0","27.5","12.5","5.0",".",".","2.5",".",".",".",".",".",".",".","."
"682
Senior Honors Thesis","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 22, 2013","","","","","","","","","","","","","","","","","","","","Page 24 of 409"
