"L&S","","","","","","","","","","","","","","","","","","","","",""
"LATIN AMER, CARIB & IBERIAN","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"525
LACIS","","","","","","","","","","","","","","","","","","","","",""
"Latin America-Introduction","260","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Elementary Quechua","362","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","440","001","","10","3.500","40.0",".","40.0",".",".",".",".","10.0",".",".",".",".","10.0",".",".","."
"","440","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in LACIS","","Course Total","","17","3.652","64.7",".","23.5",".",".",".",".","5.9",".",".",".",".","5.9",".",".","."
"Directed Study","698","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Latin American Area","982","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"LACIS
525","","Dept. Total","","32","3.600","65.6","3.1","12.5",".","6.3",".",".","3.1",".","6.3",".",".","3.1",".",".","."
