"MATHEMATICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"History of Mathematics","473","002","","28","3.833","71.4","17.9","7.1",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"Intro-Combinatorics","475","001","","24","2.854","45.8","4.2","4.2","8.3","20.8","12.5","4.2",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","490","001","","8","3.900","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Undergrad Math","491","001","","14","3.269","35.7","28.6",".","7.1","21.4",".",".",".",".",".",".",".",".","7.1",".","."
"Numerical Linear Algebra","513","001","","18","3.000","22.2","27.8","16.7","16.7","5.6","11.1",".",".",".",".",".",".",".",".",".","."
"Ordinary Differentl Equations","519","001","","17","3.118","35.3","17.6","23.5","5.9","11.8",".","5.9",".",".",".",".",".",".",".",".","."
"","521","002","","39","2.987","28.2","20.5","17.9","7.7","12.8","7.7","2.6",".",".",".",".",".",".",".","2.6","."
"","521","003","","30","2.950","30.0","6.7","26.7","10.0","20.0","6.7",".",".",".",".",".",".",".",".",".","."
"","521","004","","18","3.176","50.0",".","16.7",".","22.2","5.6",".",".",".",".",".",".",".","5.6",".","."
"Analysis I","","Course Total","","87","3.012","33.3","11.5","20.7","6.9","17.2","6.9","1.1",".",".",".",".",".",".","1.1","1.1","."
"Analysis II","522","001","","22","2.818","18.2","31.8","22.7","4.5","9.1",".","13.6",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","","12","2.542","16.7","8.3","16.7","33.3","8.3","8.3","8.3",".",".",".",".",".",".",".",".","."
"","541","001","","39","3.577","59.0","15.4","17.9","2.6","2.6","2.6",".",".",".",".",".",".",".",".",".","."
"","541","002","","23","2.714","21.7","4.3","30.4","4.3","17.4","8.7","4.3",".",".",".",".",".","4.3","4.3",".","."
"Modern Algebra","","Course Total","","62","3.275","45.2","11.3","22.6","3.2","8.1","4.8","1.6",".",".",".",".",".","1.6","1.6",".","."
"Modern Algebra","542","001","","20","2.921","60.0",".","5.0","5.0","5.0",".","20.0",".",".",".",".",".",".",".",".","5.0"
"Elementary Topology","551","001","","27","3.115","29.6","22.2","11.1","14.8","14.8","3.7",".",".",".",".",".",".",".",".",".","3.7"
"Intro-Measure & Integration","629","001","","23","3.350","34.8","17.4","21.7","8.7",".","4.3",".","13.0",".",".",".",".",".",".",".","."
"","632","002","","27","2.907","18.5","25.9","22.2","14.8","7.4","7.4","3.7",".",".",".",".",".",".",".",".","."
"","632","003","","22","3.182","31.8","27.3","18.2","9.1","4.5","9.1",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","","Course Total","","49","3.031","24.5","26.5","20.4","12.2","6.1","8.2","2.0",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","043","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","106","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","109","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods of Applied Math-2","704","001","","11","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Statistics","710","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Methods of Computatnl Math II","715","001","","24","3.565","37.5","41.7","12.5",".","4.2",".",".","4.2",".",".",".",".",".",".",".","."
"Complex Analysis","722","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Secnd Crse in Real Analysis","725","001","","16","3.533","43.8","25.0","12.5","12.5",".",".",".","6.3",".",".",".",".",".",".",".","."
"Abstract Algebra","742","001","","23","3.522","52.2","17.4","21.7",".","8.7",".",".",".",".",".",".",".",".",".",".","."
"Introductory Topology II","752","001","","13","3.692","69.2",".","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Differential Geometry","765","001","","13","3.958","84.6","7.7",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Set Theory","771","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Applied Math","801","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Meth of Appld Math","812","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Partial Differential Equatn","820","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics - Harmonic Analysis","828","001","","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 22, 2013","","","","","","","","","","","","","","","","","","","","Page 259 of 409",""
