"MECHANICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"761
Topics in Thermodynamics","001","","22","3.929","86.4","4.5","4.5",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"769
Combustion Processes","001","","25","3.740","52.0","44.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","007","","11","",".",".",".",".",".",".",".","36.4",".",".",".","63.6",".",".",".","."
"790","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","015","","6","",".",".",".",".",".",".",".","83.3",".",".",".","16.7",".",".",".","."
"790","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","042","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","045","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","046","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","047","","6","",".",".",".",".",".",".",".","83.3","16.7",".",".",".",".",".",".","."
"790","051","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","052","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","056","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","057","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","066","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","068","","6","",".",".",".",".",".",".",".","33.3",".",".",".","66.7",".",".",".","."
"790","070","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","89","",".",".",".",".",".",".",".","51.7","3.4",".",".","43.8","1.1",".",".","."
"890","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
