"","990
026","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
030","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
032","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","25","",".",".",".",".",".",".",".","68.0",".",".",".","28.0","4.0",".",".","."
"DY SCI
292","Dept. Total","250","3.465","58.0","7.6","10.8","3.6","6.8","2.4","0.4","6.8",".",".",".","2.8","0.4",".","0.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"292
DY SCI","","","","","","","","","","","","","","","","","","",""
"Freshmen","","8","3.563","75.0","12.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","34","3.434","58.8","5.9","17.6","5.9","8.8","2.9",".",".",".",".",".",".",".",".",".","."
"Junior","","50","3.338","52.0","16.0","14.0","4.0","12.0",".","2.0",".",".",".",".",".",".",".",".","."
"Senior","","79","3.396","59.5","6.3","12.7","5.1","8.9","6.3",".",".",".",".",".",".",".",".","1.3","."
"Undergraduates","","171","3.395","57.9","9.4","13.5","4.7","9.9","3.5","0.6",".",".",".",".",".",".",".","0.6","."
"Special","","1","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate","","78","3.843","59.0","2.6","5.1","1.3",".",".",".","21.8",".",".",".","9.0","1.3",".",".","."
"","Dept. Total","250","3.465","58.0","7.6","10.8","3.6","6.8","2.4","0.4","6.8",".",".",".","2.8","0.4",".","0.4","."
