"L&S","","","","","","","","","","","","","","","","","","","",""
"ATMOSPHERIC & OCEANIC SCIE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","",""
"990","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","47","",".",".",".",".",".",".",".","40.4","2.1",".",".","57.4",".",".",".","."
"999
Advanced Independent Study","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"ATM OCN
640","Dept. Total","","747","3.241","34.8","17.7","20.1","9.5","5.9","2.0","1.5","2.8","0.4","0.3",".","3.6","0.5","0.8",".","."
