"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"","267
004","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Brass","Course Total","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Percussion","Course Total","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-String","Course Total","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Guitar","270
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","101
272","9","3.611","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
272","7","3.143","28.6","28.6","28.6",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"","272
103","7","3.714","71.4",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
272","7","3.143","42.9","14.3",".","14.3","28.6",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 4","Course Total","30","3.417","43.3","26.7","16.7","3.3","6.7","3.3",".",".",".",".",".",".",".",".",".","."
"Black Music(1920-Pres): Sax","311
001","16","3.423","18.8","31.3","31.3",".",".",".",".","18.8",".",".",".",".",".",".",".","."
"Topics in Music & Ethnicity-US","319
001","73","3.186","15.1","31.5","34.2","9.6","2.7","2.7",".","1.4",".",".",".",".","1.4",".",".","1.4"
"Jazz Improvisation","332
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum-String Pedagogy","345
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Concepts of Music","351
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Non-Western Music Performnc","361
002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wind Ensemble","40
001","37","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musical Cultures-World","402
001","12","3.591","41.7","25.0","25.0",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Concert Band","41
001","44","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey Music-Romantic Era","415
001","27","3.480","44.4","14.8","22.2","7.4","3.7",".",".","7.4",".",".",".",".",".",".",".","."
"Varsity Band","42
001","253","3.998","99.6","0.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","43
001","104","3.981","97.1",".","1.9",".",".",".",".",".",".",".",".",".",".",".",".","1.0"
"","43
002","82","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","43
003","49","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"University Band","Course Total","235","3.991","98.7",".","0.9",".",".",".",".",".",".",".",".",".",".",".",".","0.4"
"Collegium Musicum","461
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Studies in the Arts","469
001","9","3.704","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","497
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","005
497","15","3.400","53.3","6.7","26.7","6.7",".","6.7",".",".",".",".",".",".",".",".",".","."
"","497
010","8","3.857","75.0",".","12.5",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","497
101","11","3.900","72.7","18.2",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","497
102","20","3.650","65.0","15.0","5.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Music","Course Total","58","3.647","67.2","10.3","10.3","6.9",".","1.7",".","1.7",".",".",".",".","1.7",".",".","."
"","499
023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 22, 2013","","","","","","","","","","","","","","","","","","Page 267 of 409",""
