"PhD Thesis-Finance","Course Total","6","",".",".",".",".",".",".",".","83.3",".",".",".","16.7",".",".",".","."
"","999
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Finance PhD","Course Total","2","***","","","","","","","","","","","","","","","",""
"FINANCE
233","Dept. Total","1354","3.376","40.3","19.1","24.0","6.6","7.7","0.2","0.3","1.7",".",".",".","0.1","0.1",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"Sophomore","","29","3.190","17.2","24.1","44.8","6.9","6.9",".",".",".",".",".",".",".",".",".",".","."
"Junior","","226","3.175","31.4","13.3","29.2","11.1","15.0",".",".",".",".",".",".",".",".",".",".","."
"Senior","","645","3.260","32.6","20.9","25.7","8.5","10.2","0.5","0.6","0.8",".",".",".",".","0.2",".",".","."
"Undergraduates","","900","3.236","31.8","19.1","27.2","9.1","11.3","0.3","0.4","0.6",".",".",".",".","0.1",".",".","."
"Special","","40","3.500","45.0","17.5","12.5","12.5","2.5",".",".","10.0",".",".",".",".",".",".",".","."
"Graduate","","409","3.690","58.4","19.6","17.6","0.5","0.2",".",".","3.4",".",".",".","0.2",".",".",".","."
"Prof Yr 2","","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 3","","4","3.600","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","5","3.500","40.0",".","60.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","1354","3.376","40.3","19.1","24.0","6.6","7.7","0.2","0.3","1.7",".",".",".","0.1","0.1",".",".","."
