"SPANISH (SPANISH AND PORTU Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","","",""
"468","000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"468","001","","21","3.310","19.0","33.3","42.9",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"468","002","","24","3.771","70.8","12.5","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"468","003","","18","3.111","44.4","22.2",".","11.1","11.1","5.6","5.6",".",".",".",".",".",".",".",".","."
"Topics in Hispanic Culture","Course Total","","64","3.438","46.9","21.9","20.3","3.1","4.7","1.6","1.6",".",".",".",".",".",".",".",".","."
"470
Smr:Hispanic Lit/Cultr/Ling","001","","22","3.714","59.1","18.2","18.2",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"504
Survey of Medieval Lit","001","","10","3.800","80.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"506
Advanced Survey-Spanish Lit","001","","15","3.600","53.3","26.7","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"541
Old Spanish","001","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"630
Topics-Hispanic Linguistics","001","","6","3.600","16.7","66.7",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"715
Topics-Hispanic Cult Studies","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"801
Smr-Spanish American Lit","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"842
Seminar-Medieval Literature","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"851
Cervantes Don Quijote","001","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"899","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","4","***","","","","","","","","","","","","","","","",""
"982
Smr-Latin American Area","002","","10","3.938","70.0","10.0",".",".",".",".",".","10.0",".",".",".",".","10.0",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","045","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Thesis","Course Total","","52","",".",".",".",".",".",".",".","84.6","3.8",".",".","11.5",".",".",".","."
