"MEDICAL SCIENCES - VET MED","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","","",""
"Production Medicine II","703
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Prod Med III-Appl Dy Nutr","705
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Production Medicine IV","707
001","","9","4.000","11.1",".",".",".",".",".",".","88.9",".",".",".",".",".",".",".","."
"","775
001","","31","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775
002","","22","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775
003","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775
004","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Externship","Course Total","","83","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
