"ENGR MECHANICS & ASTRONA","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"201","001","","226","2.650","14.2","4.9","42.5","4.9","23.5","4.9","5.3",".",".",".",".",".",".",".",".","."
"201","002","","133","2.778","15.0","9.0","37.6","11.3","20.3","4.5","2.3",".",".",".",".",".",".",".",".","."
"Statics","Course Total","","359","2.698","14.5","6.4","40.7","7.2","22.3","4.7","4.2",".",".",".",".",".",".",".",".","."
"202
Dynamics","001","","116","2.961","17.2","24.1","23.3","23.3","4.3","3.4","3.4",".",".",".",".",".",".",".",".","0.9"
"303
Mechanics of Materials","001","","108","3.220","22.2","32.4","25.9","11.1","4.6","1.9","0.9",".",".",".",".",".",".",".",".","0.9"
"307","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"307","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"307","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"307","004","","6","2.917",".","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"307","006","","6","3.000","16.7","16.7","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".","."
"307","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"307","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"307","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"307","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"307","011","","8","3.313","25.0","50.0",".","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"307","012","","6","2.917","16.7","16.7",".","66.7",".",".",".",".",".",".",".",".",".",".",".","."
"307","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"307","014","","9","2.944","11.1","22.2","22.2","33.3","11.1",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","","70","3.029","11.4","24.3","30.0","27.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"395
Matrls-Constructed Facilities","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"405
Practicum-Finite Elements","001","","23","3.457","47.8","17.4","26.1","4.3",".","4.3",".",".",".",".",".",".",".",".",".","."
"471","001","","18","3.694","77.8","5.6","11.1",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"471","002","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Problem Solving-Engrs","Course Total","","27","3.759","81.5","3.7","11.1",".",".","3.7",".",".",".",".",".",".",".",".",".","."
"522
Aerodynamics Lab","001","","19","3.500","31.6","31.6","31.6",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"523
Flight Dynamics and Control","001","","18","3.147","5.6","38.9","33.3","11.1","5.6",".",".","5.6",".",".",".",".",".",".",".","."
"545
Mechanical Vibrations","001","","33","2.970","36.4","9.1","12.1","21.2","12.1","6.1","3.0",".",".",".",".",".",".",".",".","."
"548
Engineering Analysis II","001","","6","3.500","50.0","33.3",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"550
Astrodynamics","001","","27","3.185","22.2","33.3","18.5","18.5","3.7","3.7",".",".",".",".",".",".",".",".",".","."
"569
Senior Design Project","001","","23","3.261","4.3","60.9","17.4","17.4",".",".",".",".",".",".",".",".",".",".",".","."
"570
Experimental Mechanics","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"599","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"601
Special Topics: Engr Mech","001","","14","3.538","42.9","28.6","14.3",".","7.1",".",".","7.1",".",".",".",".",".",".",".","."
"611
Adv Mech Testing-Materials","001","","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"622
Mechanics of Continua","001","","12","2.700","16.7","16.7","25.0",".",".","25.0",".","16.7",".",".",".",".",".",".",".","."
"642
Satellite Dynamics","001","","20","2.825","5.0","10.0","50.0","15.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"790","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 22, 2013","","","","","","","","","","","","","","","","","","","Page 121 of 409",""
