"ART EDUCATION (DEPT OF ART) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","",""
"","322
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","322
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","322
003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Visual Learning Design","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design Education","326
001","","11","3.727","81.8",".","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Stdt Tchg-Elem School Art","423
001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Tchg-Secondary Sch Art","424
001","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art-Exceptional Education","570
001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Reading & Rsch","699
061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar in Art Education","951
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Independent Reading","999
061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"ART ED
176","Dept. Total","","55","3.889","81.8","7.3","3.6",".","1.8",".",".",".",".",".",".",".","5.5",".",".","."
