"","990
008","2","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
012","2","***","","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","13","",".",".",".",".",".","",".",".","84.6",".",".",".","15.4",".",".",".","."
"Independent Work","999
008","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"COMP LIT
260","Dept. Total","201","3.501","29.9","42.3","10.0","3.5","2.5","",".","0.5","7.0",".",".",".","1.0","3.0","0.5",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"260
COMP LIT","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","14","3.179",".","57.1","28.6","7.1","7.1","",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","50","3.470","16.0","76.0","4.0","2.0",".","",".","2.0",".",".",".",".",".",".",".",".","."
"Junior","","37","3.403","21.6","54.1","8.1","8.1","5.4","",".",".",".",".",".",".",".","2.7",".",".","."
"Senior","","54","3.459","31.5","31.5","20.4","3.7","3.7","",".",".","3.7",".",".",".",".","5.6",".",".","."
"Undergraduates","","155","3.423","21.3","53.5","12.9","4.5","3.2","",".","0.6","1.3",".",".",".",".","2.6",".",".","."
"Special","","3","3.500",".","33.3",".",".",".","",".",".","33.3",".",".",".",".",".","33.3",".","."
"Graduate","","43","3.979","62.8","2.3",".",".",".","",".",".","25.6",".",".",".","4.7","4.7",".",".","."
"","Dept. Total","201","3.501","29.9","42.3","10.0","3.5","2.5","",".","0.5","7.0",".",".",".","1.0","3.0","0.5",".","."
