"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"","100
001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
002","25","3.920","96.0",".",".",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Art","Course Total","49","3.959","98.0",".",".",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"","001
102","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","17","3.471","64.7","11.8","5.9","11.8",".",".","5.9",".",".",".",".",".",".",".",".","."
"","102
004","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","12","3.458","66.7","8.3","16.7",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","006
102","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Two-Dimensional Design","Course Total","80","3.750","78.8","10.0","6.3","2.5",".",".","2.5",".",".",".",".",".",".",".",".","."
"","104
001","13","2.962","23.1","30.8","7.7","23.1",".","15.4",".",".",".",".",".",".",".",".",".","."
"","104
002","13","3.692","69.2","15.4","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","104
003","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
104","18","3.556","88.9",".",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Three-Dimensional Design","Course Total","62","3.589","74.2","9.7","3.2","4.8","1.6","3.2","3.2",".",".",".",".",".",".",".",".","."
"","001
107","18","3.824","72.2","11.1","11.1",".",".",".",".",".","5.6",".",".",".",".",".",".","."
"","107
002","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
107","19","3.722","63.2","10.5","21.1",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Introduction to Digital Forms","Course Total","54","3.846","77.8","7.4","11.1",".",".",".",".","1.9","1.9",".",".",".",".",".",".","."
"","112
002","20","3.375","55.0","10.0","15.0","15.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"","112
003","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
112","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
112","17","3.969","88.2","5.9",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","112
006","18","3.735","61.1","22.2","5.6","5.6",".",".",".","5.6",".",".",".",".",".",".",".","."
"","112
007","16","3.423","37.5","25.0",".","6.3","12.5",".",".","18.8",".",".",".",".",".",".",".","."
"","112
008","18","3.833","94.4",".",".",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"","112
009","17","3.618","76.5","5.9","11.8",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"Drawing I","Course Total","140","3.733","74.3","10.7","4.3","3.6","1.4","0.7","1.4","3.6",".",".",".",".",".",".",".","."
"Current Directions in Art","208
001","96","2.963","16.7","21.9","26.0","16.7","12.5","2.1","2.1",".",".",".",".",".","2.1",".",".","."
"","212
001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
212","13","3.808","76.9","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","003
212","14","3.286","14.3","50.0","21.4","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","004
212","11","3.455","27.3","36.4","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drawing II","Course Total","48","3.604","50.0","29.2","14.6","4.2","2.1",".",".",".",".",".",".",".",".",".",".","."
"","214
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","214
002","7","3.500","28.6","57.1",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Sculpture I","Course Total","12","3.708","58.3","33.3",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","222
001","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","222
002","17","3.824","70.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Painting","Course Total","34","3.882","79.4","17.6","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
224","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
002","9","3.611","44.4","44.4",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","224
003","8","3.563","62.5","12.5","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Ceramics I","Course Total","23","3.652","60.9","21.7","8.7","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
