"EGR","","","","","","","","","","","","","","","","","","","",""
"ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"Digital System Fundamentals","Course Total","","84","3.208","38.1","21.4","11.9","10.7","14.3","2.4","1.2",".",".",".",".",".",".",".",".","."
"Intro to Microprocessor Sys","353
001","","49","3.296","32.7","20.4","26.5","14.3","6.1",".",".",".",".",".",".",".",".",".",".","."
"","354
001","","25","3.380","56.0","16.0","12.0","4.0","4.0","4.0","4.0",".",".",".",".",".",".",".",".","."
"","354
002","","13","3.038","23.1","15.4","38.5","7.7","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","","38","3.263","44.7","15.8","21.1","5.3","5.3","5.3","2.6",".",".",".",".",".",".",".",".","."
"","355
001","","31","3.742","77.4",".","19.4",".","3.2",".",".",".",".",".",".",".",".",".",".","."
"","355
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Electromech Energy Conversn","Course Total","","35","3.735","71.4","5.7","17.1",".","2.9",".",".",".",".",".",".",".","2.9",".",".","."
"","001
370","","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
002","","9","3.556","44.4","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","370
005","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","Course Total","","32","3.797","71.9","18.8","6.3","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"Electricl&Electronc Circuit","376
001","","116","3.241","31.0","22.4","25.9","8.6","11.2",".","0.9",".",".",".",".",".",".",".",".","."
"","377
001","","95","3.405","32.6","34.7","23.2","6.3","1.1","1.1","1.1",".",".",".",".",".",".",".",".","."
"","377
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elec&Elec-mech Power Conver","Course Total","","96","3.406","32.3","35.4","22.9","6.3","1.0","1.0","1.0",".",".",".",".",".",".",".",".","."
"","399
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
054","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
066","","10","3.921","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","27","3.938","85.2","7.4",".",".",".",".",".",".",".",".",".",".","7.4",".",".","."
"","412
001","","52","3.390","38.5","19.2","28.8","5.8","1.9",".","1.9","3.8",".",".",".",".",".",".",".","."
"","412
003","","17","3.844","82.4",".","5.9","5.9",".",".",".","5.9",".",".",".",".",".",".",".","."
"Power Electronic Circuits","Course Total","","69","3.500","49.3","14.5","23.2","5.8","1.4",".","1.4","4.3",".",".",".",".",".",".",".","."
"Electromag Wave Transmissn","420
001","","13","2.833","23.1","23.1","23.1","7.7",".",".","15.4","7.7",".",".",".",".",".",".",".","."
"Digital Signl Processng Lab","432
001","","13","3.308","30.8","30.8","30.8",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"Photonics","434
001","","19","3.132","36.8","21.1","15.8","5.3","15.8",".","5.3",".",".",".",".",".",".",".",".","."
"Communication Systems II","437
001","","8","3.786","50.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","12.5","."
"Semiconductr Physics&Device","445
001","","17","3.618","35.3","52.9","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Embedded Microproc System Dsgn","453
001","","29","3.569","55.2","24.1","17.2",".",".",".","3.4",".",".",".",".",".",".",".",".","."
"","491
011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","491
021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","491
025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","491
066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","491
072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Design Project","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Introduction to Plasmas","525
001","","8","3.000","25.0","25.0","12.5",".","37.5",".",".",".",".",".",".",".",".",".",".","."
"Plasma Confinement&Heating","527
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
