"MICROBIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","",""
"General Microbiology","101
001","345","3.224","38.0","16.8","21.2","8.1","11.6","3.8","0.3",".",".",".",".",".","0.3",".",".","."
"","102
001","40","3.813","72.5","20.0","5.0","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"","002
102","44","3.830","65.9","34.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","42","3.786","69.0","21.4","7.1","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","43","3.814","72.1","20.9","4.7","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"General Microbiology Lab","Course Total","169","3.811","69.8","24.3","4.1","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"","299
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
034","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
049","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
071","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
072","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
073","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
094","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","16","3.961","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms","303
001","211","3.067","19.4","19.4","35.1","16.6","4.3","2.8","1.4","0.5",".",".",".",".",".",".","0.5","."
"","304
001","38","3.395","39.5","15.8","31.6","10.5","2.6",".",".",".",".",".",".",".",".",".",".","."
"","304
002","38","3.474","36.8","34.2","21.1","2.6","5.3",".",".",".",".",".",".",".",".",".",".","."
"","304
003","36","3.333","25.0","27.8","38.9","5.6","2.8",".",".",".",".",".",".",".",".",".",".","."
"","304
004","42","3.452","40.5","23.8","26.2","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms Lab","Course Total","154","3.416","35.7","25.3","29.2","5.8","3.9",".",".",".",".",".",".",".",".",".",".","."
"","305
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
305","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
004","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Critical Analyses-Microbiology","Course Total","47","3.989","97.9","2.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Host-Parasite Interactions","330
001","54","3.028","31.5","13.0","29.6","3.7","13.0","7.4","1.9",".",".",".",".",".",".",".",".","."
"","375
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","6","3.625","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Divrsty, Ecol&Evolutn-Microorg","450
001","76","3.204","38.2","11.8","28.9","5.3","11.8","2.6","1.3",".",".",".",".",".",".",".",".","."
"Micro Genetics & Mol Machines","470
001","65","3.662","69.2","4.6","20.0","1.5","4.6",".",".",".",".",".",".",".",".",".",".","."
"Soil Microbiology & Biochem","523
001","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Biotechnology","545
001","32","3.797","78.1","15.6",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","551
001","17","3.559","47.1","23.5","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","551
002","25","3.680","56.0","24.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
003","17","3.441","47.1","35.3","5.9","5.9",".",".","5.9",".",".",".",".",".",".",".",".","."
"Physiol Dvrsty-Procryot Lab","Course Total","59","3.576","50.8","27.1","16.9","3.4",".",".","1.7",".",".",".",".",".",".",".",".","."
"Advanced Microbial Physiology","625
001","20","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Microbiol-Atomic Resolution","668
001","17","3.853","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 22, 2013","","","","","","","","","","","","","","","","","","","Page 10 of 409"
