"","990
116","2","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
119","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
120","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","69","",".",".",".",".",".",".",".","78.3",".",".",".","21.7","",".",".",".","."
"GENETICS
412","Dept. Total","631","3.270","44.2","10.6","16.3","9.4","5.4","2.2","0.5","8.7","0.2",".",".","2.4","",".","0.2",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","14","3.813","78.6",".","14.3",".",".",".",".",".",".",".",".",".","",".","7.1",".","."
"Sophomore","","74","3.529","81.1","4.1","5.4","2.7","6.8",".",".",".",".",".",".",".","",".",".",".","."
"Junior","","126","2.888","41.3","11.9","8.7","15.9","11.9","8.7","1.6",".",".",".",".",".","",".",".",".","."
"Senior","","278","3.387","49.3","11.2","21.9","11.9","4.7","0.7","0.4",".",".",".",".",".","",".",".",".","."
"Undergraduates","","492","3.270","52.8","10.0","15.9","11.2","6.7","2.6","0.6",".",".",".",".",".","",".","0.2",".","."
"Special","","50","3.182","22.0","28.0","38.0","8.0","2.0","2.0",".",".",".",".",".",".","",".",".",".","."
"Graduate","","89","3.471","9.0","4.5","6.7",".",".",".",".","61.8","1.1",".",".","16.9","",".",".",".","."
"","Dept. Total","631","3.270","44.2","10.6","16.3","9.4","5.4","2.2","0.5","8.7","0.2",".",".","2.4","",".","0.2",".","."
