"Rdg & Rsch-Urban Land Econ","799
005","4","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"PhD Thesis-Real Estate","990
142","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Readng&Rsch-Real Estate PhD","999
097","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"REAL EST
239","Dept. Total","445","3.440","40.2","24.9","24.3","4.3","3.1","0.9","",".","0.4","",".",".","",".","",".","1.6","0.2",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","29","3.232","20.7","20.7","41.4","10.3","3.4",".","",".",".","",".",".","",".","",".","3.4",".",".","."
"Junior","","73","3.260","21.9","35.6","24.7","8.2","9.6",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","189","3.394","39.2","23.8","27.5","4.2","3.2","2.1","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","291","3.344","33.0","26.5","28.2","5.8","4.8","1.4","",".",".","",".",".","",".","",".","0.3",".",".","."
"Special","","4","3.500","25.0","25.0","25.0",".",".",".","",".","25.0","",".",".","",".","",".",".",".",".","."
"Graduate","","148","3.654","54.7","22.3","16.2","1.4",".",".","",".","0.7","",".",".","",".","",".","4.1","0.7",".","."
"Prof Yr 2","","2","3.400","50.0",".","50.0",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","2","3.400","50.0",".","50.0",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","445","3.440","40.2","24.9","24.3","4.3","3.1","0.9","",".","0.4","",".",".","",".","",".","1.6","0.2",".","."
