"REHAB PSYCH & SPECIAL EDU","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","",""
"Research or Thesis","Course Total","","9","",".",".",".",".",".",".",".","55.6",".",".",".","44.4",".",".",".","."
"699","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"710
Multiculturl Issues-Special Ed","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"725
Career Couns & Job Placemnt","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"735
Legal&Ethical Bases - Coun&Psy","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"736
Psych of Individual Difference","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"789
Qual Rsch Mthds-Educ: Field II","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"802
Spec St-Indiv w/Disablties","001","","6","3.700","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"820
Rehab Cnslg Psy-Theor & Iss","001","","15","3.786","60.0","26.7","6.7",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"840
Rehab Cnslg Psych-Grp Proc","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"860","088","","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"860","089","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"860","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"860","091","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Clin Prac","Course Total","","25","3.900","84.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"880
Rehab Cnsl Psych-Sup Prac 1","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"890
Rehab Cnsl Psych-Sup Prac 2","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"900
Rehab Cnsl Psych-Sup Prac 3","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"910
Rehab Cnsl Psych-Internship","001","","7","3.809","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"921","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"921","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship: Adv Prof Pract","Course Total","","5","***","","","","","","","","","","","","","","","",""
"930","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"930","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Prac Tchng","Course Total","","5","***","","","","","","","","","","","","","","","",""
"940","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"940","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Supv Rsch","Course Total","","4","***","","","","","","","","","","","","","","","",""
"941","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"941","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
